player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,40:19,是,7-13,6-14,6-7,2,5,5,1,5,1,0,0,5,1/1,38,江苏,2017-01-18
易立,8,36:58,是,6-9,2-4,0-0,0,5,1,3,2,3,1,4,3,4/4,18,江苏,2017-01-18
李原宇,16,18:06,是,1-3,0-0,0-0,3,1,0,6,2,0,0,0,4,0/0,2,江苏,2017-01-18
柳伟,15,12:45,是,0-1,0-0,0-0,2,1,1,6,0,0,0,0,1,0/0,0,江苏,2017-01-18
常亚松,5,08:33,是,0-1,0-2,0-0,1,0,1,3,0,0,0,0,0,0/0,0,江苏,2017-01-18
麦克唐纳,26,30:09,否,8-14,0-1,9-11,6,8,0,2,1,5,1,1,8,2/2,25,江苏,2017-01-18
常林,45,28:14,否,1-4,1-4,6-8,1,7,0,3,0,2,0,0,5,0/0,11,江苏,2017-01-18
胡雪峰,55,23:14,否,0-1,1-3,2-2,0,3,11,2,1,1,0,0,1,0/0,5,江苏,2017-01-18
陈磊,22,12:36,否,2-2,0-1,0-0,0,1,0,2,0,1,0,0,0,0/0,4,江苏,2017-01-18
刘亚晖,9,06:46,否,1-1,0-0,1-2,0,2,0,2,0,1,0,0,1,1/1,3,江苏,2017-01-18
曹飞,23,16:13,否,1-2,0-3,0-2,1,0,1,4,1,0,0,0,3,0/0,2,江苏,2017-01-18
侯逸凡,31,06:07,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-01-18
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,1,0/0,0,江苏,2017-01-18
普-杰特,3,44:08,是,6-12,0-7,8-10,3,3,7,4,0,7,0,0,12,1/1,20,天津,2017-01-18
李荣培,15,44:59,是,1-1,4-10,1-2,0,4,4,4,0,2,0,0,1,0/0,15,天津,2017-01-18
萨尼-萨卡基尼,7,38:13,是,0-5,1-3,9-12,3,11,0,4,2,2,0,0,12,0/0,12,天津,2017-01-18
张骥,13,17:46,是,3-5,0-0,2-2,2,2,1,5,1,0,0,0,1,0/0,8,天津,2017-01-18
张智涵,9,15:40,是,1-2,0-0,0-0,0,3,1,2,0,1,0,0,0,1/1,2,天津,2017-01-18
杰里米-泰勒,8,29:17,否,7-16,0-0,2-3,3,2,0,5,2,3,2,2,4,1/1,16,天津,2017-01-18
孟祥龙,14,35:21,否,1-1,3-9,1-2,1,1,0,5,2,2,0,0,3,0/0,12,天津,2017-01-18
田垒,1,08:21,否,0-1,1-4,0-0,1,2,1,1,2,1,0,0,1,0/0,3,天津,2017-01-18
史仪,2,03:52,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,天津,2017-01-18
时德帅,23,02:23,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,天津,2017-01-18
未确认,--,--,--,0-0,0-0,0-0,3,3,0,0,0,0,0,0,0,0/0,0,天津,2017-01-18
