player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,39,是,5-10,2-7,11-15,3,5,8,1,0,5,0,2,11,0/0,27,江苏,2018-03-13
吴冠希,11,17,是,3-3,0-0,1-2,2,3,0,5,1,2,1,1,2,0/0,7,江苏,2018-03-13
柳伟,15,17,是,2-4,0-1,2-2,2,3,1,6,0,0,0,0,2,0/0,6,江苏,2018-03-13
常亚松,3,21,是,2-4,0-5,0-0,0,2,0,2,0,0,0,0,1,0/0,4,江苏,2018-03-13
易立,8,34,是,1-2,0-4,1-2,1,1,0,2,1,3,1,0,1,0/0,3,江苏,2018-03-13
李原宇,16,30,否,2-6,4-7,3-6,2,7,1,5,2,2,1,0,5,0/0,19,江苏,2018-03-13
拉杜利察,13,31,否,5-11,1-2,4-4,4,9,1,4,1,3,0,1,6,0/0,17,江苏,2018-03-13
曹飞,23,28,否,2-5,2-3,4-5,0,0,4,6,2,0,0,0,4,0/0,14,江苏,2018-03-13
侯逸凡,31,12,否,0-0,1-3,0-0,0,1,0,2,0,0,0,0,0,0/0,3,江苏,2018-03-13
陈磊,22,8,否,0-0,0-4,0-0,0,0,0,2,1,0,0,0,0,0/0,0,江苏,2018-03-13
史鸿飞,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-03-13
丁彦雨航,2,44,是,7-14,3-8,10-12,3,3,1,2,0,2,0,0,8,0/0,33,山东,2018-03-13
莫泰尤纳斯,12,31,是,8-14,0-1,8-16,0,7,1,4,0,3,1,0,11,0/0,24,山东,2018-03-13
贾诚,32,28,是,3-11,1-1,2-2,3,6,2,5,2,2,0,0,2,0/0,11,山东,2018-03-13
睢冉,1,19,是,1-1,0-1,0-0,0,2,1,4,1,1,0,0,1,0/0,2,山东,2018-03-13
张辉,4,11,是,0-3,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,0,山东,2018-03-13
陶汉林,20,25,否,7-10,0-0,2-3,7,2,2,6,0,1,0,2,3,0/0,16,山东,2018-03-13
泰-劳森,3,40,否,2-8,0-4,8-10,2,5,2,2,4,1,0,0,8,0/0,12,山东,2018-03-13
吴轲,15,10,否,1-1,0-0,1-2,1,0,0,2,0,1,0,0,1,0/0,3,山东,2018-03-13
张春军,27,25,否,1-1,0-5,1-2,4,5,1,5,1,0,1,0,1,0/0,3,山东,2018-03-13
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
王汝恒,24,3,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
张庆鹏,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-03-13
