player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,40:13,是,9-19,4-12,13-13,5,13,5,5,3,1,0,1,10,1/1,43,江苏,2017-02-12
柳伟,15,22:15,是,7-9,0-0,0-0,2,3,0,2,1,0,0,0,1,0/0,14,江苏,2017-02-12
易立,8,42:41,是,4-9,1-4,0-0,1,3,0,3,3,1,1,2,1,3/3,11,江苏,2017-02-12
李原宇,16,20:35,是,4-5,0-0,0-1,1,1,4,6,1,1,1,0,2,0/0,8,江苏,2017-02-12
常亚松,5,19:49,是,0-0,0-4,0-0,0,0,2,6,1,0,0,0,2,0/0,0,江苏,2017-02-12
常林,45,25:03,否,1-2,3-9,1-2,0,5,3,1,0,4,0,0,2,0/0,12,江苏,2017-02-12
麦克唐纳,26,27:26,否,2-7,1-2,0-0,2,6,0,1,0,0,0,0,1,0/0,7,江苏,2017-02-12
陈磊,22,12:42,否,1-2,1-1,0-0,1,1,0,0,0,1,0,0,1,0/0,5,江苏,2017-02-12
曹飞,23,21:02,否,0-0,0-2,0-0,1,1,0,3,1,1,0,0,0,0/0,0,江苏,2017-02-12
侯逸凡,31,06:43,否,0-0,0-1,0-0,0,0,0,0,1,0,0,0,0,0/0,0,江苏,2017-02-12
胡雪峰,55,01:31,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,2,0/0,0,江苏,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,1,0,0,0,0/0,0,江苏,2017-02-12
富兰克林,11,44:41,是,8-12,7-14,8-9,3,10,4,4,2,7,1,2,15,2/2,45,山西,2017-02-12
邢志强,12,21:54,是,0-1,1-5,8-10,3,4,0,4,0,1,1,0,5,0/0,11,山西,2017-02-12
田桂森,3,23:03,是,1-3,0-3,2-2,0,1,1,5,1,0,1,0,1,0/0,4,山西,2017-02-12
王磊,8,20:33,是,1-2,0-2,0-0,0,3,2,1,0,0,0,0,1,1/1,2,山西,2017-02-12
侯兴宇,5,09:01,是,1-1,0-0,0-1,1,0,0,0,0,1,0,1,1,0/0,2,山西,2017-02-12
闫鹏飞,9,38:59,否,6-11,0-1,1-2,3,4,0,4,0,0,0,0,1,0/0,13,山西,2017-02-12
戴勒姆波特,1,26:06,否,3-5,0-1,0-0,3,11,2,1,0,0,1,0,1,0/0,6,山西,2017-02-12
原帅,7,21:34,否,1-2,1-6,0-0,0,1,0,1,0,1,0,0,0,1/1,5,山西,2017-02-12
曾令旭,6,20:43,否,1-3,0-2,2-2,1,1,3,1,0,3,0,0,2,0/0,4,山西,2017-02-12
张学文,33,13:26,否,0-1,1-3,0-0,0,2,1,0,2,1,0,0,0,0/0,3,山西,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,山西,2017-02-12
