player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,41:10,是,6-12,7-12,8-10,0,4,7,1,1,2,0,1,9,1/1,41,江苏,2016-12-16
易立,8,36:46,是,4-7,3-5,0-0,1,4,3,4,2,1,2,0,1,1/1,17,江苏,2016-12-16
柳伟,15,22:54,是,1-3,0-0,2-2,1,4,1,1,0,3,0,0,2,0/0,4,江苏,2016-12-16
李原宇,16,19:29,是,1-1,0-0,1-2,0,6,0,2,1,2,0,0,4,0/0,3,江苏,2016-12-16
常亚松,5,09:17,是,0-0,0-1,0-0,0,0,0,1,0,1,0,0,1,0/0,0,江苏,2016-12-16
萨缪尔斯,24,29:53,否,10-18,0-0,2-6,0,5,0,2,1,2,1,2,7,0/0,22,江苏,2016-12-16
侯逸凡,31,10:29,否,2-3,1-1,0-0,0,0,0,1,1,0,0,0,0,2/2,7,江苏,2016-12-16
常林,45,23:44,否,1-4,0-4,1-2,1,0,0,6,3,1,0,0,1,0/0,3,江苏,2016-12-16
胡雪峰,55,16:07,否,0-0,1-4,0-0,0,2,5,3,0,2,0,0,0,0/0,3,江苏,2016-12-16
曹飞,23,10:12,否,0-0,0-0,2-2,1,1,0,2,0,0,0,0,2,0/0,2,江苏,2016-12-16
陈磊,22,19:59,否,0-2,0-0,1-2,0,4,0,3,1,1,0,0,1,0/0,1,江苏,2016-12-16
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,江苏,2016-12-16
唐纳德-斯隆,23,44:46,是,7-18,6-10,4-6,3,8,9,1,3,5,0,0,8,0/0,36,广东,2016-12-16
易建联,9,40:49,是,5-11,2-2,5-9,1,10,1,3,1,2,3,3,7,0/0,21,广东,2016-12-16
周鹏,11,42:59,是,4-7,3-7,1-2,5,5,0,1,0,4,0,0,5,1/1,18,广东,2016-12-16
赵睿,0,31:45,是,1-3,1-4,1-2,0,1,1,4,1,3,0,0,2,0/0,6,广东,2016-12-16
任骏飞,20,16:15,是,1-1,0-1,0-0,0,1,2,5,0,1,0,0,1,0/0,2,广东,2016-12-16
布泽尔,5,25:18,否,8-11,0-0,5-6,3,8,0,4,1,1,0,2,3,0/0,21,广东,2016-12-16
董瀚麟,16,13:38,否,1-4,0-0,0-0,1,2,1,6,0,2,0,0,0,0/0,2,广东,2016-12-16
陈江华,6,11:57,否,0-3,0-1,0-0,0,0,1,2,0,1,0,0,0,0/0,0,广东,2016-12-16
周湛东,13,07:32,否,0-0,0-1,0-0,1,0,1,2,1,1,0,0,0,0/0,0,广东,2016-12-16
高尚,3,05:01,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2016-12-16
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,广东,2016-12-16
