player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,45:39,是,15-27,3-9,3-4,1,5,5,1,0,2,1,4,4,4/4,42,江苏,2017-02-05
易立,8,38:32,是,3-5,3-8,6-7,2,3,3,1,0,2,1,1,5,2/2,21,江苏,2017-02-05
李原宇,16,30:14,是,4-5,0-0,0-1,5,4,2,5,2,1,2,0,2,0/0,8,江苏,2017-02-05
柳伟,15,22:19,是,3-4,0-0,0-0,2,2,0,3,0,0,0,0,2,0/0,6,江苏,2017-02-05
常亚松,5,14:14,是,1-2,0-2,0-0,0,1,2,2,1,0,0,0,0,0/0,2,江苏,2017-02-05
麦克唐纳,26,26:21,否,4-11,0-0,4-5,2,7,3,3,2,1,2,0,3,1/1,12,江苏,2017-02-05
胡雪峰,55,29:42,否,2-4,2-5,0-0,3,3,7,5,5,5,0,0,0,1/1,10,江苏,2017-02-05
常林,45,17:25,否,2-2,0-2,0-0,0,1,2,4,0,1,1,0,0,1/1,4,江苏,2017-02-05
陈磊,22,06:43,否,1-1,0-0,0-0,0,0,0,4,1,0,0,0,1,0/0,2,江苏,2017-02-05
侯逸凡,31,05:06,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-02-05
曹飞,23,04:04,否,0-0,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,0,江苏,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,1,0/0,0,江苏,2017-02-05
福特森,4,45:39,是,11-19,5-10,7-9,3,6,7,4,3,10,0,0,15,1/2,44,广厦,2017-02-05
林志杰,27,41:18,是,2-3,3-8,2-3,0,3,0,3,2,7,0,0,2,1/2,15,广厦,2017-02-05
胡金秋,21,34:42,是,3-9,0-0,6-7,3,4,0,0,1,1,1,0,4,1/1,12,广厦,2017-02-05
李京龙,9,28:10,是,0-1,3-7,2-2,0,1,1,4,0,1,0,0,1,0/0,11,广厦,2017-02-05
王征,13,21:06,是,1-2,0-0,4-6,2,7,0,0,0,0,0,0,3,0/0,6,广厦,2017-02-05
霍尔曼,32,26:21,否,7-9,0-0,0-0,5,5,1,3,3,0,2,2,2,0/0,14,广厦,2017-02-05
刘铮,11,17:54,否,2-4,0-2,0-0,1,2,0,1,0,0,2,0,2,1/1,4,广厦,2017-02-05
赵岩昊,25,08:38,否,1-2,0-3,0-0,1,0,0,0,0,0,0,0,1,0/0,2,广厦,2017-02-05
苏若禹,5,13:51,否,1-2,0-0,0-0,3,0,0,2,0,0,1,0,0,0/0,2,广厦,2017-02-05
孙铭徽,17,02:21,否,0-2,0-0,0-0,1,0,2,0,0,1,0,0,0,0/0,0,广厦,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,0,广厦,2017-02-05
