player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,37,是,10-17,2-6,4-7,1,3,7,1,1,2,0,0,4,0/0,30,江苏,2018-01-10
吴冠希,11,21,是,6-9,0-0,0-0,2,5,0,1,0,2,1,3,0,0/0,12,江苏,2018-01-10
曹飞,23,37,是,3-3,2-3,0-0,0,2,2,4,4,4,0,0,1,0/0,12,江苏,2018-01-10
李原宇,16,31,是,2-5,0-1,5-8,2,1,2,5,0,0,1,0,4,0/0,9,江苏,2018-01-10
侯逸凡,31,12,是,0-0,1-3,0-0,1,0,1,4,0,0,0,0,0,0/0,3,江苏,2018-01-10
拉杜利察,13,34,否,6-16,0-0,15-17,2,7,4,5,2,1,2,0,11,0/0,27,江苏,2018-01-10
易立,8,39,否,4-7,0-2,5-6,1,8,4,4,3,1,1,0,9,0/0,13,江苏,2018-01-10
陈磊,22,13,否,2-3,0-1,0-0,0,2,0,1,1,2,0,0,0,0/0,4,江苏,2018-01-10
柳伟,15,8,否,1-1,0-0,2-2,1,1,0,4,0,2,0,0,2,0/0,4,江苏,2018-01-10
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
常亚松,3,4,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
史鸿飞,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
刘磊,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-01-10
克里斯顿,0,43,是,5-13,2-6,5-10,3,2,9,5,2,1,1,0,11,0/0,21,广州,2018-01-10
桑尼,1,32,是,9-12,0-5,2-2,6,10,2,2,2,6,0,0,3,0/0,20,广州,2018-01-10
罗旭东,9,31,是,2-8,2-3,2-2,0,0,1,4,2,3,0,0,1,0/0,12,广州,2018-01-10
范子铭,13,16,是,3-6,0-0,0-0,0,1,0,5,0,3,0,0,0,0/0,6,广州,2018-01-10
鞠明欣,8,11,是,2-3,0-2,0-0,1,0,0,1,0,1,0,0,0,0/0,4,广州,2018-01-10
汉斯布鲁,11,28,否,8-12,0-0,4-5,7,2,1,4,1,1,0,2,8,0/0,20,广州,2018-01-10
郑准,50,19,否,5-6,0-2,2-2,0,5,1,6,1,0,0,0,2,0/0,12,广州,2018-01-10
衡艺丰,21,14,否,0-1,1-3,0-0,0,0,2,1,0,1,0,0,0,0/0,3,广州,2018-01-10
胡珑贸,15,30,否,1-2,0-5,1-3,0,1,1,3,2,0,0,0,1,0/0,3,广州,2018-01-10
朱旭航,10,5,否,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,0/0,1,广州,2018-01-10
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
张帆,23,5,否,0-1,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,0,广州,2018-01-10
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-01-10
