player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
拉杜利察,13,31,是,6-10,0-0,8-10,2,5,5,3,1,2,2,0,9,0/0,20,江苏,2018-11-04
史鸿飞,4,41,是,0-1,4-9,4-4,2,2,4,5,1,5,0,0,4,0/0,16,江苏,2018-11-04
吴冠希,11,34,是,5-8,0-0,3-6,6,6,2,2,1,0,4,0,5,0/0,13,江苏,2018-11-04
易立,8,37,是,3-7,2-4,1-2,1,7,6,3,5,2,1,1,3,0/0,13,江苏,2018-11-04
侯逸凡,31,25,是,2-2,1-5,1-1,1,3,0,1,0,1,0,0,1,0/0,8,江苏,2018-11-04
杰罗姆-戴森,2,34,否,4-8,4-11,0-0,2,3,3,5,0,4,0,0,4,0/0,20,江苏,2018-11-04
李原宇,16,15,否,3-3,1-1,2-2,0,1,1,4,1,3,2,0,1,0/0,11,江苏,2018-11-04
柳伟,15,13,否,2-3,2-2,1-3,1,4,0,3,0,0,0,0,1,0/0,11,江苏,2018-11-04
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
孙鑫,10,3,否,0-1,0-0,0-0,0,2,2,1,0,0,0,0,0,0/0,0,江苏,2018-11-04
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
曹飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
赵率舟,24,2,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-04
弗格,18,37,是,2-8,5-7,13-16,1,2,6,5,1,6,0,0,11,0/0,32,广州,2018-11-04
斯贝茨,5,34,是,7-14,4-8,5-6,1,5,2,3,1,1,0,0,5,0/0,31,广州,2018-11-04
西热力江,20,38,是,1-4,4-7,1-2,1,2,6,3,3,3,0,0,2,0/0,15,广州,2018-11-04
张永鹏,33,35,是,1-1,0-0,0-0,0,5,0,6,1,0,2,0,0,0/0,2,广州,2018-11-04
鞠明欣,8,17,是,0-2,0-4,0-0,0,3,2,1,0,1,0,0,0,0/0,0,广州,2018-11-04
陈盈骏,2,28,否,4-6,1-3,3-3,1,4,1,4,1,2,0,0,3,0/0,14,广州,2018-11-04
郭凯,14,26,否,4-8,0-0,0-0,2,3,1,4,7,2,0,0,3,0/0,8,广州,2018-11-04
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
司坤,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
衡艺丰,21,21,否,0-0,0-1,0-0,0,0,1,2,0,0,0,0,1,0/0,0,广州,2018-11-04
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
孙鸣阳,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
郑准,50,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-04
