player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,40,是,14-20,7-14,9-9,1,11,9,2,2,3,0,1,12,0/0,58,江苏,2017-12-01
李原宇,16,28,是,5-5,0-1,0-0,2,4,1,5,0,2,0,1,1,0/0,10,江苏,2017-12-01
吴冠希,11,12,是,2-4,0-0,0-0,2,1,1,2,3,2,0,1,0,0/0,4,江苏,2017-12-01
曹飞,23,30,是,0-0,1-2,0-0,0,0,0,2,0,2,0,0,0,0/0,3,江苏,2017-12-01
侯逸凡,31,18,是,0-1,0-2,0-0,1,2,0,4,1,0,0,0,1,0/0,0,江苏,2017-12-01
拉杜利察,13,30,否,9-14,0-0,6-8,2,8,2,1,1,3,0,2,5,0/0,24,江苏,2017-12-01
史鸿飞,4,24,否,0-0,3-5,0-0,0,1,1,5,2,0,0,0,1,0/0,9,江苏,2017-12-01
柳伟,15,25,否,2-3,0-0,1-1,1,4,0,4,0,0,0,1,1,0/0,5,江苏,2017-12-01
易立,8,30,否,1-4,0-1,0-0,0,0,2,4,0,1,0,0,0,0/0,2,江苏,2017-12-01
陈磊,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
刘磊,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
常亚松,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
刘亚晖,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2017-12-01
亚当斯,4,41,是,4-10,6-15,11-14,0,2,6,1,2,6,0,0,13,0/0,37,新疆,2017-12-01
俞长栋,27,40,是,7-9,3-7,2-4,5,1,1,3,2,0,0,0,2,0/0,25,新疆,2017-12-01
可兰白克,13,33,是,4-5,1-2,5-6,1,7,3,4,3,0,0,0,4,0/0,16,新疆,2017-12-01
阿不都沙拉木,23,29,是,3-5,0-0,2-3,3,1,1,3,0,0,0,0,3,0/0,8,新疆,2017-12-01
孙桐林,55,27,是,1-1,0-0,0-0,0,5,4,5,0,2,1,0,1,0/0,2,新疆,2017-12-01
李根,1,29,否,2-4,0-6,3-4,2,2,0,2,0,2,0,0,5,0/0,7,新疆,2017-12-01
布莱切,0,2,否,0-2,1-2,0-0,1,0,0,1,0,0,0,0,0,0/0,3,新疆,2017-12-01
王子瑞,30,5,否,0-0,0-0,1-2,0,1,0,0,0,0,0,0,1,0/0,1,新疆,2017-12-01
孙鸣阳,21,9,否,0-2,0-0,0-0,1,0,0,1,1,2,0,0,0,0/0,0,新疆,2017-12-01
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-01
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-01
李学林,6,1,否,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-01
西热力江,20,20,否,0-3,0-5,0-0,1,1,1,1,0,0,0,0,0,0/0,0,新疆,2017-12-01
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2017-12-01
