player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
唐纳德-斯隆,1,41,是,11-18,2-9,5-6,1,3,5,1,1,2,0,0,6,0/0,33,江苏,2018-11-13
吴冠希,11,25,是,6-11,0-0,0-1,4,6,0,5,0,1,3,1,1,0/0,12,江苏,2018-11-13
曹飞,23,27,是,2-2,2-6,0-0,1,2,0,1,1,3,0,0,1,0/0,10,江苏,2018-11-13
李原宇,16,20,是,2-2,0-2,3-3,1,2,1,5,0,0,1,0,2,0/0,7,江苏,2018-11-13
侯逸凡,31,19,是,1-4,0-3,2-2,0,3,0,0,0,0,0,0,1,0/0,4,江苏,2018-11-13
赵率舟,24,22,否,1-2,3-3,0-0,0,5,1,1,0,1,0,0,1,0/0,11,江苏,2018-11-13
柳伟,15,23,否,1-2,0-4,6-6,3,5,3,2,0,1,0,1,3,0/0,8,江苏,2018-11-13
孙鑫,10,7,否,1-1,0-0,5-6,0,1,0,2,0,0,0,0,3,0/0,7,江苏,2018-11-13
史鸿飞,4,27,否,0-0,2-5,1-1,0,2,4,0,1,0,0,0,1,0/0,7,江苏,2018-11-13
拉杜利察,13,21,否,1-11,0-0,1-1,4,4,1,4,0,1,0,0,3,0/0,3,江苏,2018-11-13
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
刘宇轩,21,3,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
易立,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-13
萨林杰,92,37,是,10-12,1-3,4-6,4,14,3,0,3,4,2,2,7,0/0,27,深圳,2018-11-13
顾全,12,26,是,3-5,6-8,2-2,1,1,2,1,1,1,0,0,2,0/0,26,深圳,2018-11-13
李慕豪,9,28,是,4-11,0-1,4-5,4,7,1,5,0,0,0,1,5,0/0,12,深圳,2018-11-13
于德豪,19,20,是,3-3,1-2,0-0,1,1,4,3,1,2,0,0,1,0/0,9,深圳,2018-11-13
郭晓鹏,1,16,是,0-1,0-1,0-0,0,0,2,1,1,0,0,0,0,0/0,0,深圳,2018-11-13
肯尼-伯顿,2,31,否,3-4,4-11,1-1,1,9,11,0,1,2,0,0,2,0/0,19,深圳,2018-11-13
卢艺文,55,17,否,1-5,2-3,2-3,0,1,1,1,0,0,0,1,1,0/0,10,深圳,2018-11-13
贺希宁,3,15,否,1-3,1-2,2-2,1,1,1,2,0,0,0,0,1,0/0,7,深圳,2018-11-13
邱彪,13,15,否,0-0,1-4,0-0,0,1,1,3,0,0,0,0,0,0/0,3,深圳,2018-11-13
杨林祎,6,15,否,0-1,1-3,0-0,1,1,1,4,0,0,0,0,1,0/0,3,深圳,2018-11-13
沈梓捷,11,16,否,1-6,0-0,0-0,0,2,0,3,1,0,0,1,1,0/0,2,深圳,2018-11-13
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-13
