player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,37:58,是,6-12,5-7,5-9,2,6,10,1,2,5,0,0,4,0/0,32,江苏,2016-11-06
易立,8,37:36,是,3-5,7-8,1-1,0,3,0,3,1,4,0,0,0,1/1,28,江苏,2016-11-06
曹飞,23,29:29,是,1-6,1-3,2-2,2,0,1,3,3,1,0,0,2,0/0,7,江苏,2016-11-06
李原宇,16,29:44,是,3-7,0-0,1-2,2,1,3,5,2,2,1,1,3,0/0,7,江苏,2016-11-06
柳伟,15,29:21,是,2-5,0-0,0-0,0,3,2,3,1,1,0,0,2,0/0,4,江苏,2016-11-06
萨缪尔斯,24,30:44,否,8-14,0-0,4-4,4,8,1,2,0,4,1,4,4,0/0,20,江苏,2016-11-06
陈磊,22,16:58,否,0-0,3-9,0-0,0,0,0,3,1,0,0,0,0,0/0,9,江苏,2016-11-06
侯逸凡,31,03:51,否,2-2,1-1,0-0,0,0,0,0,0,0,0,0,0,1/1,7,江苏,2016-11-06
常亚松,5,15:41,否,0-2,1-2,0-0,0,2,3,4,1,1,0,0,0,0/0,3,江苏,2016-11-06
胡雪峰,55,02:27,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,江苏,2016-11-06
刘亚晖,9,04:27,否,0-0,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,江苏,2016-11-06
张有为,33,01:44,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,江苏,2016-11-06
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-06
德怀特-拜克斯,38,34:01,是,4-15,1-2,4-5,3,3,3,2,2,3,0,0,6,0/0,15,福建,2016-11-06
赵泰隆,9,36:04,是,0-2,4-5,0-0,0,3,0,1,1,0,1,0,1,0/0,12,福建,2016-11-06
王哲林,31,30:42,是,5-8,0-0,1-2,3,4,0,4,1,7,0,0,3,0/0,11,福建,2016-11-06
周启新,1,22:11,是,2-5,0-0,1-1,2,1,0,0,1,1,0,0,1,0/0,5,福建,2016-11-06
郭磊,11,11:45,是,1-2,0-2,0-0,0,1,3,3,1,0,0,0,2,0/0,2,福建,2016-11-06
J.J-希克森,21,36:15,否,13-22,0-0,3-3,5,15,2,2,1,7,1,1,5,0/0,29,福建,2016-11-06
陈林坚,15,21:26,否,3-5,0-2,0-0,0,1,1,1,0,0,0,0,0,0/0,6,福建,2016-11-06
胡珑贸,10,07:56,否,1-1,0-0,3-4,1,0,0,1,0,3,0,0,2,0/1,5,福建,2016-11-06
陈世杰,8,04:32,否,0-1,0-0,5-6,0,0,0,0,1,1,0,0,3,0/0,5,福建,2016-11-06
谢亚财,30,09:27,否,0-0,0-0,2-2,0,0,1,0,0,1,0,0,2,0/0,2,福建,2016-11-06
孙喆,41,17:18,否,0-0,0-0,1-2,0,1,0,1,0,0,1,0,2,0/0,1,福建,2016-11-06
黄毅超,14,08:23,否,0-1,0-2,0-0,0,1,0,1,0,1,0,0,0,0/0,0,福建,2016-11-06
