player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
布鲁克斯,2,34:35,是,9-12,3-8,0-0,0,4,2,1,2,3,1,0,2,2/2,27,江苏,2016-11-16
易立,8,38:00,是,6-7,0-1,1-1,2,1,1,4,1,5,2,0,1,1/1,13,江苏,2016-11-16
李原宇,16,34:14,是,5-8,0-0,1-2,2,7,0,6,3,3,1,0,2,1/1,11,江苏,2016-11-16
柳伟,15,27:00,是,3-5,0-0,1-2,2,4,0,1,0,3,0,0,1,0/0,7,江苏,2016-11-16
常亚松,5,16:26,是,1-1,1-1,0-0,0,1,1,6,1,0,0,0,1,0/0,5,江苏,2016-11-16
萨缪尔斯,24,34:46,否,13-17,1-1,7-9,2,8,3,0,3,2,2,0,7,0/0,36,江苏,2016-11-16
胡雪峰,55,31:34,否,3-6,0-3,3-3,0,2,8,5,1,0,0,0,5,0/0,9,江苏,2016-11-16
陈磊,22,21:19,否,0-0,1-4,0-0,0,1,1,5,0,3,0,0,0,0/0,3,江苏,2016-11-16
曹飞,23,02:06,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,江苏,2016-11-16
琼斯,55,45:55,是,5-13,7-14,7-12,3,6,1,3,4,9,1,1,12,2/3,38,青岛,2016-11-16
张骋宇,6,40:57,是,6-9,1-5,2-2,0,1,3,2,3,3,0,0,1,1/1,17,青岛,2016-11-16
苏伟,9,34:28,是,2-6,0-0,4-6,4,4,0,4,2,1,0,0,3,0/0,8,青岛,2016-11-16
刘书楠,7,23:57,是,0-2,1-2,1-2,3,1,0,1,1,1,0,0,4,0/0,4,青岛,2016-11-16
田嘉夫,14,05:50,是,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,青岛,2016-11-16
宗赞,13,29:49,否,3-5,2-5,3-3,2,2,1,2,2,0,0,0,3,0/0,15,青岛,2016-11-16
贝尼蒙-卡尔顿,20,25:53,否,4-8,0-0,4-6,6,5,1,3,0,2,0,0,4,0/0,12,青岛,2016-11-16
孙杰,17,13:20,否,0-0,1-3,0-0,0,1,0,0,0,2,0,0,0,0/0,3,青岛,2016-11-16
丁皓然,35,09:03,否,0-0,0-2,1-2,0,1,0,0,0,2,1,0,1,0/0,1,青岛,2016-11-16
张涵钧,2,06:56,否,0-1,0-0,0-0,1,0,2,2,0,1,0,0,0,0/0,0,青岛,2016-11-16
孙鐿滔,8,03:52,否,0-0,0-0,0-0,0,0,0,0,0,2,0,0,0,0/0,0,青岛,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,青岛,2016-11-16
