player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威姆斯,13,44,是,9-16,3-5,2-2,1,5,9,2,5,4,1,0,2,0/0,29,浙江,2017-12-23
吴前,33,34,是,4-8,2-7,0-0,1,4,9,1,2,0,0,0,2,0/0,14,浙江,2017-12-23
张大宇,24,26,是,4-7,0-0,3-5,2,10,0,0,2,2,3,1,3,0/0,11,浙江,2017-12-23
张永鹏,76,33,是,5-9,0-0,0-2,5,10,3,4,1,0,0,1,2,0/0,10,浙江,2017-12-23
程帅澎,6,14,是,0-2,0-2,0-0,0,0,0,3,0,0,0,0,0,0/0,0,浙江,2017-12-23
付磊,3,37,否,0-2,9-15,0-0,2,1,1,2,0,2,0,0,0,0/0,27,浙江,2017-12-23
赖俊豪,17,25,否,2-3,0-0,2-3,2,1,3,6,1,1,1,0,5,0/0,6,浙江,2017-12-23
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
江凯,93,9,否,0-1,0-1,0-0,0,0,1,1,0,0,0,0,1,0/0,0,浙江,2017-12-23
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
刘泽一,10,8,否,0-1,0-0,0-0,0,1,0,4,0,1,0,0,0,0/0,0,浙江,2017-12-23
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
斯托克斯,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
惠龙儿,18,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-23
王奕博,7,3,否,0-0,0-0,0-0,0,1,0,0,0,1,0,0,1,0/0,0,浙江,2017-12-23
雷蒙,11,46,是,2-9,4-10,4-4,0,3,3,3,0,3,0,0,4,0/0,20,八一,2017-12-23
张祖铭,20,39,是,1-3,2-14,0-0,2,1,0,2,1,2,1,0,0,0/0,8,八一,2017-12-23
许钟豪,24,41,是,2-7,0-0,2-4,3,9,1,3,1,3,5,0,5,0/0,6,八一,2017-12-23
田宇翔,7,8,是,1-3,0-0,0-0,1,1,1,0,0,0,0,0,2,0/0,2,八一,2017-12-23
付豪,1,4,是,0-0,0-0,0-0,0,0,0,1,0,0,0,0,2,0/0,0,八一,2017-12-23
刘航初,9,42,否,7-12,0-2,5-11,6,8,1,2,3,3,1,0,7,0/0,19,八一,2017-12-23
阿尔斯兰,5,39,否,0-0,3-8,2-4,0,5,5,5,3,0,0,0,3,0/0,11,八一,2017-12-23
李天戈,6,8,否,1-1,0-3,0-0,0,0,1,0,0,1,0,0,0,0/0,2,八一,2017-12-23
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
宁鸿宇,16,6,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,八一,2017-12-23
德勒黑,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
罗凯文,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
王俊霖,17,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-23
