player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
吴前,33,47,是,1-4,6-11,2-2,0,2,7,3,2,2,0,0,2,0/0,22,浙江,2018-11-11
汉斯布鲁,50,31,是,7-12,0-0,2-2,1,5,0,2,1,2,0,1,7,0/0,16,浙江,2018-11-11
朱旭航,21,37,是,3-6,1-4,5-6,4,6,1,1,2,1,1,0,4,0/0,14,浙江,2018-11-11
江凯,93,32,是,4-6,0-3,6-7,1,0,3,6,0,0,0,0,4,0/0,14,浙江,2018-11-11
程帅澎,6,20,是,1-1,1-3,0-0,0,0,1,4,1,2,0,0,0,0/0,5,浙江,2018-11-11
邓蒙,12,45,否,7-15,1-9,8-11,3,11,5,0,0,2,1,0,7,0/0,25,浙江,2018-11-11
赖俊豪,17,27,否,1-1,1-2,6-6,4,2,0,1,1,2,2,0,4,0/0,11,浙江,2018-11-11
张大宇,24,15,否,1-3,0-0,0-1,1,2,2,1,0,0,0,0,1,0/0,2,浙江,2018-11-11
王奕博,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
李宗翰,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
林孝天,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
李耀强,11,6,否,0-2,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,0,浙江,2018-11-11
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
王仔路,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
孙岩松,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-11
汉密尔顿,41,42,是,7-10,2-3,4-4,0,6,0,3,2,3,1,1,2,0/0,24,北京,2018-11-11
刘晓宇,10,40,是,5-8,1-4,2-2,0,0,5,1,1,1,0,0,3,0/0,15,北京,2018-11-11
张才仁,16,35,是,3-4,0-2,0-0,0,1,2,3,0,2,0,0,0,0/0,6,北京,2018-11-11
张卓,22,4,是,1-2,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,2,北京,2018-11-11
王骁辉,33,24,是,0-0,0-1,0-0,2,3,2,6,1,1,0,0,0,0/0,0,北京,2018-11-11
艾伦-杰克逊,7,34,否,10-17,1-7,7-10,2,6,12,4,3,0,0,0,10,0/0,30,北京,2018-11-11
翟晓川,20,35,否,6-9,2-5,3-3,3,8,1,4,0,3,0,0,3,0/0,21,北京,2018-11-11
朱彦西,13,39,否,1-1,4-5,2-2,0,8,0,4,1,1,0,0,2,0/0,16,北京,2018-11-11
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
段江鹏,11,2,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,北京,2018-11-11
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
丘天,19,4,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北京,2018-11-11
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-11
