player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
洛伦佐-布朗,23,44:36,是,16-32,0-3,11-12,5,8,4,3,5,5,0,1,13,1/1,43,浙江,2017-01-20
张永鹏,76,40:25,是,5-12,0-0,4-8,7,7,0,4,0,2,4,1,6,0/0,14,浙江,2017-01-20
张大宇,24,30:03,是,2-4,0-0,3-6,1,1,1,3,0,2,0,0,4,1/1,7,浙江,2017-01-20
夏钰博,15,22:25,是,2-5,0-2,0-0,0,2,0,3,1,0,0,0,0,0/0,4,浙江,2017-01-20
陆文博,8,20:40,是,0-1,0-0,0-0,2,0,0,5,0,0,0,0,0,0/0,0,浙江,2017-01-20
吴前,33,39:02,否,4-6,2-8,0-0,0,3,0,1,2,1,0,0,1,1/1,14,浙江,2017-01-20
卢艺文,11,22:32,否,1-2,0-2,3-6,4,3,1,3,1,3,1,0,3,0/0,5,浙江,2017-01-20
刘丰博,2,17:17,否,1-1,1-2,0-0,0,0,0,2,0,0,1,0,0,0/0,5,浙江,2017-01-20
赵杭,26,03:00,否,0-1,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,浙江,2017-01-20
张正昕,28,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-01-20
未确认,--,--,--,0-0,0-0,0-0,3,1,0,0,0,1,0,0,0,0/0,0,浙江,2017-01-20
杨敬敏,6,42:53,是,5-10,3-5,3-4,0,3,2,1,1,4,0,0,5,0/0,22,北控,2017-01-20
麦克鲁姆,4,34:31,是,7-13,0-5,6-6,1,5,5,3,0,5,0,0,11,0/0,20,北控,2017-01-20
宋康明,21,10:26,是,3-6,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,6,北控,2017-01-20
王振宇,27,18:06,是,1-5,1-1,0-0,1,0,0,5,0,0,0,0,1,0/0,5,北控,2017-01-20
滕贺麒,8,14:11,是,0-0,0-1,0-0,1,0,0,4,0,2,0,0,1,0/0,0,北控,2017-01-20
巴蒂斯塔,15,37:29,否,10-15,0-0,4-6,5,8,7,5,1,3,2,1,3,0/0,24,北控,2017-01-20
贺希宁,3,31:47,否,5-9,1-2,2-2,1,2,1,4,2,3,1,0,1,2/2,15,北控,2017-01-20
于梁,11,29:59,否,4-6,0-0,1-2,0,5,0,4,1,0,0,0,1,0/0,9,北控,2017-01-20
贾俊龙,2,05:07,否,1-1,0-1,0-0,0,0,0,0,1,0,0,0,0,0/0,2,北控,2017-01-20
刘大鹏,20,11:56,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,北控,2017-01-20
何敬佳,18,03:35,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-01-20
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,3,0,0,0,0/0,0,北控,2017-01-20
