player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
张大宇,24,40,是,12-17,0-0,6-7,6,4,0,5,2,2,2,2,7,0/0,30,浙江,2017-12-08
威姆斯,13,36,是,12-21,1-3,3-3,1,7,7,3,1,4,0,2,4,0/0,30,浙江,2017-12-08
吴前,33,38,是,6-10,3-11,3-4,1,4,1,0,3,0,1,0,2,0/0,24,浙江,2017-12-08
程帅澎,6,13,是,1-1,0-1,0-0,0,1,1,4,1,2,0,0,1,0/0,2,浙江,2017-12-08
赖俊豪,17,4,是,0-0,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,浙江,2017-12-08
斯托克斯,12,31,否,12-20,0-0,4-9,11,9,0,3,1,3,2,0,7,0/0,28,浙江,2017-12-08
陆文博,8,25,否,1-1,0-3,0-0,0,2,0,3,1,2,0,0,0,0/0,2,浙江,2017-12-08
刘泽一,10,3,否,1-1,0-0,0-0,0,0,0,1,0,0,0,1,0,0/0,2,浙江,2017-12-08
王奕博,7,4,否,1-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,2,浙江,2017-12-08
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
惠龙儿,18,13,否,0-1,0-0,0-0,0,1,2,2,1,0,1,0,0,0/0,0,浙江,2017-12-08
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
江凯,93,24,否,0-1,0-4,0-0,2,3,2,5,0,0,0,0,0,0/0,0,浙江,2017-12-08
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-08
张永鹏,76,2,否,0-0,0-0,0-0,1,0,0,1,0,1,0,0,0,0/0,0,浙江,2017-12-08
兰德里,24,30,是,6-12,0-0,14-17,2,13,2,6,0,1,1,1,10,0/0,26,吉林,2017-12-08
高诗岩,0,39,是,4-9,0-2,3-3,2,3,1,2,1,1,0,0,5,0/0,11,吉林,2017-12-08
崔晋铭,5,37,是,5-7,0-5,0-0,0,1,0,1,2,3,0,0,2,0/0,10,吉林,2017-12-08
柴长易,6,17,是,0-0,2-3,1-2,1,0,1,1,0,1,0,0,2,0/0,7,吉林,2017-12-08
李安,4,22,是,1-5,0-0,0-0,1,1,1,4,0,1,0,0,0,0/0,2,吉林,2017-12-08
韦弗,13,39,否,8-14,3-6,8-8,1,3,3,2,3,6,0,0,8,0/0,33,吉林,2017-12-08
张彪,14,23,否,3-8,0-0,1-2,0,1,0,4,1,1,0,0,2,0/0,7,吉林,2017-12-08
代怀博,22,14,否,2-4,0-1,0-0,1,1,0,2,1,0,0,0,0,0/0,4,吉林,2017-12-08
蔡李龙,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
姚天一,3,3,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
刘天意,1,7,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
廉明,10,4,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-08
