player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威姆斯,13,46,是,12-28,3-7,3-4,3,9,9,2,0,8,0,0,6,0/0,36,浙江,2017-11-05
吴前,33,46,是,6-10,4-9,5-5,0,4,6,2,1,2,0,0,4,0/0,29,浙江,2017-11-05
张大宇,24,32,是,6-10,0-0,0-0,2,5,3,3,1,1,1,0,0,0/0,12,浙江,2017-11-05
赖俊豪,17,26,是,4-6,1-2,0-0,2,7,0,6,0,1,2,0,0,0/0,11,浙江,2017-11-05
江凯,93,27,是,0-3,2-3,0-0,1,2,0,6,1,1,0,0,1,0/0,6,浙江,2017-11-05
惠龙儿,18,30,否,6-7,0-0,2-2,3,4,1,2,0,0,1,0,1,0/0,14,浙江,2017-11-05
程帅澎,6,17,否,2-2,0-2,1-1,1,2,0,2,0,2,0,0,1,0/0,5,浙江,2017-11-05
陆文博,8,8,否,0-0,0-1,1-2,0,1,0,1,0,0,0,0,1,0/0,1,浙江,2017-11-05
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
斯托克斯,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
王奕博,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
张永鹏,76,4,否,0-0,0-0,0-0,0,1,1,0,1,0,0,0,1,0/0,0,浙江,2017-11-05
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-11-05
琼斯,55,38,是,11-22,1-6,13-18,5,7,2,1,3,1,0,0,13,0/0,38,同曦,2017-11-05
巴赫拉米,14,41,是,9-16,2-3,2-4,5,4,2,3,1,1,0,0,3,0/0,26,同曦,2017-11-05
郭一飞,10,34,是,2-5,2-4,0-0,2,0,0,1,3,2,0,0,1,0/0,10,同曦,2017-11-05
唐正东,9,17,是,3-6,0-0,0-2,1,5,0,0,0,1,0,0,2,0/0,6,同曦,2017-11-05
宋建骅,8,28,是,0-1,0-3,0-0,2,3,3,3,1,0,0,0,0,0/0,0,同曦,2017-11-05
J.J-希克森,44,33,否,9-19,0-4,3-5,6,9,2,1,0,2,2,0,5,0/0,21,同曦,2017-11-05
杨力,19,25,否,0-0,1-3,0-0,1,1,0,3,1,0,0,0,0,0/0,3,同曦,2017-11-05
周仪翔,6,18,否,1-2,0-2,0-0,1,0,0,1,3,1,0,0,0,0/0,2,同曦,2017-11-05
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
冯欣,66,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
于长春,16,0,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2017-11-05
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
买尔丹,33,1,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,同曦,2017-11-05
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-11-05
