player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威姆斯,13,37,是,14-28,2-4,11-12,3,13,7,3,2,1,1,1,7,0/0,45,浙江,2017-12-19
吴前,33,37,是,4-7,4-10,2-2,4,3,2,3,2,4,0,0,1,0/0,22,浙江,2017-12-19
陆文博,8,23,是,0-0,4-4,0-0,0,1,0,6,3,1,0,0,1,0/0,12,浙江,2017-12-19
张大宇,24,18,是,3-7,0-0,1-2,4,0,0,3,1,0,2,0,1,0/0,7,浙江,2017-12-19
赖俊豪,17,20,是,3-3,0-1,0-0,1,2,0,0,1,0,1,1,0,0/0,6,浙江,2017-12-19
斯托克斯,12,33,否,15-20,0-1,3-5,6,8,4,3,2,1,0,0,7,0/0,33,浙江,2017-12-19
程帅澎,6,21,否,2-3,2-3,0-0,1,0,1,5,1,1,0,0,0,0/0,10,浙江,2017-12-19
付磊,3,0,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,浙江,2017-12-19
张永鹏,76,22,否,0-3,0-0,2-2,1,1,2,2,2,0,0,0,2,0/0,2,浙江,2017-12-19
江凯,93,20,否,1-1,0-0,0-0,1,0,2,5,0,1,0,0,0,0/0,2,浙江,2017-12-19
王奕博,7,2,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,0,浙江,2017-12-19
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-12-19
哈达迪,15,36,是,6-10,0-1,2-3,4,5,2,6,0,4,3,1,6,0/0,14,四川,2017-12-19
左朕年,13,39,是,5-8,1-3,0-0,1,3,0,2,0,1,2,0,0,0/0,13,四川,2017-12-19
王政博,16,28,是,1-1,3-6,2-2,0,1,1,4,0,0,0,0,1,0/0,13,四川,2017-12-19
黄荣奇,7,31,是,3-7,1-4,0-0,2,2,1,1,1,2,0,0,2,0/0,9,四川,2017-12-19
孟达,12,31,是,0-2,2-6,2-2,1,1,3,2,1,4,0,0,3,0/0,8,四川,2017-12-19
富兰克林,11,35,否,8-10,2-6,21-23,0,5,4,2,2,3,2,2,15,0/0,43,四川,2017-12-19
杨越,6,13,否,3-3,0-1,0-0,1,1,0,0,1,0,0,0,1,0/0,6,四川,2017-12-19
陈晓东,30,12,否,2-6,0-0,0-0,0,1,0,1,0,0,0,0,1,0/0,4,四川,2017-12-19
侯天一,14,6,否,1-2,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,四川,2017-12-19
吴楠,10,3,否,0-0,0-1,0-0,0,0,1,1,0,1,0,0,0,0/0,0,四川,2017-12-19
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
刘炜,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-19
