player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,35:18,是,8-11,5-7,8-9,1,6,10,4,4,5,1,0,9,1/1,39,浙江,2016-11-16
张大宇,24,37:26,是,8-15,0-0,3-4,2,6,1,3,2,2,0,2,3,1/1,19,浙江,2016-11-16
张永鹏,76,26:50,是,3-6,0-0,2-2,2,0,2,3,0,0,1,1,3,0/0,8,浙江,2016-11-16
夏钰博,15,32:26,是,1-5,0-0,0-0,0,7,3,6,0,2,0,0,0,1/1,2,浙江,2016-11-16
陆文博,8,27:16,是,0-2,0-0,0-0,2,1,1,3,1,2,0,0,1,0/0,0,浙江,2016-11-16
科迪-拉兰,25,27:00,否,4-5,3-6,0-0,2,7,1,5,0,1,0,2,3,0/0,17,浙江,2016-11-16
吴前,33,41:24,否,3-6,2-11,2-2,0,5,3,3,1,2,0,0,2,0/0,14,浙江,2016-11-16
赖俊豪,17,04:44,否,1-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,2,浙江,2016-11-16
邓愈鑫,13,02:26,否,1-1,0-2,0-0,0,0,0,0,0,2,0,0,0,0/0,2,浙江,2016-11-16
刘丰博,2,02:57,否,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,浙江,2016-11-16
卢艺文,11,02:13,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,浙江,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,3,0,0,0,0/0,0,浙江,2016-11-16
丁彦雨航,2,40:33,是,5-10,1-5,5-8,2,7,2,1,0,2,0,0,8,1/1,18,山东,2016-11-16
贾森-汤普森,1,28:26,是,8-11,0-1,2-2,1,4,3,6,2,3,1,1,6,1/1,18,山东,2016-11-16
睢冉,6,32:44,是,4-7,0-3,1-1,0,5,2,5,2,1,0,0,1,1/1,9,山东,2016-11-16
张辉,4,25:05,是,1-4,2-3,1-2,0,1,0,2,0,3,0,0,2,0/0,9,山东,2016-11-16
潘宁,5,14:25,是,0-3,1-2,0-0,0,2,0,2,0,0,0,0,1,0/0,3,山东,2016-11-16
诺里斯-科尔,30,16:48,否,3-8,0-3,3-3,0,1,0,0,1,1,0,1,3,1/1,9,山东,2016-11-16
李敬宇,8,17:25,否,1-2,2-4,0-0,0,1,1,1,1,0,0,0,0,0/0,8,山东,2016-11-16
陶汉林,20,34:03,否,1-6,0-0,2-4,1,3,1,3,0,2,2,0,4,0/0,4,山东,2016-11-16
刘冠岑,9,11:00,否,1-2,0-1,0-0,1,0,1,2,1,0,0,1,0,1/1,2,山东,2016-11-16
杨力,19,15:15,否,1-1,0-1,0-0,0,0,2,1,1,0,0,0,0,1/1,2,山东,2016-11-16
曹振华,11,04:16,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,4,2,0,0,0,1,0,0,0,0/0,0,山东,2016-11-16
