player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,31:23,是,4-7,0-2,11-12,0,2,2,2,0,3,0,0,9,0/0,19,浙江,2017-02-12
吴前,33,24:34,是,3-6,1-4,3-3,0,4,3,5,2,2,0,0,3,0/0,12,浙江,2017-02-12
夏钰博,15,29:00,是,3-6,0-1,4-5,0,2,0,1,0,1,0,0,3,0/0,10,浙江,2017-02-12
张大宇,24,36:08,是,3-9,0-0,2-3,2,9,2,0,0,2,4,0,2,0/0,8,浙江,2017-02-12
张永鹏,76,21:47,是,4-7,0-0,0-0,0,5,0,1,0,0,1,0,0,0/0,8,浙江,2017-02-12
洛伦佐-布朗,23,23:40,否,2-7,1-4,5-5,1,5,5,0,1,3,0,0,3,0/1,12,浙江,2017-02-12
刘丰博,2,27:15,否,1-1,3-7,1-3,0,1,0,2,2,1,0,0,2,0/0,12,浙江,2017-02-12
赖俊豪,17,32:39,否,2-5,1-4,1-1,1,7,0,5,0,1,1,1,2,1/1,8,浙江,2017-02-12
卢艺文,11,11:56,否,2-4,0-0,0-0,0,2,0,3,0,1,0,0,0,0/0,4,浙江,2017-02-12
张正昕,28,01:38,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,浙江,2017-02-12
易建联,9,16:43,是,8-13,3-3,1-3,1,5,0,0,1,0,1,0,3,1/1,26,广东,2017-02-12
周鹏,11,27:41,是,6-8,1-3,1-3,1,5,2,3,0,2,0,0,3,0/0,16,广东,2017-02-12
任骏飞,20,26:50,是,6-13,0-3,1-2,4,6,2,3,0,0,1,1,3,1/1,13,广东,2017-02-12
赵睿,0,28:32,是,1-1,1-2,3-3,0,2,2,5,3,1,0,0,4,1/1,8,广东,2017-02-12
唐纳德-斯隆,23,27:25,是,2-5,0-4,2-2,1,7,6,1,2,1,0,0,4,1/1,6,广东,2017-02-12
布泽尔,5,21:34,否,9-16,0-0,0-0,6,7,5,3,0,3,0,0,1,0/0,18,广东,2017-02-12
高尚,3,25:50,否,4-9,0-1,1-1,0,3,1,3,1,2,0,1,1,1/1,9,广东,2017-02-12
周湛东,13,25:26,否,1-3,2-4,0-0,2,2,1,3,2,2,0,0,0,0/0,8,广东,2017-02-12
邵英伦,12,09:52,否,1-1,0-3,0-0,0,1,0,2,1,0,0,0,0,0/0,2,广东,2017-02-12
董瀚麟,16,16:52,否,1-3,0-1,0-0,2,3,0,0,0,0,0,1,0,0/0,2,广东,2017-02-12
杨金蒙,17,09:06,否,0-1,0-1,0-0,0,0,1,1,0,0,0,0,0,0/0,0,广东,2017-02-12
曾繁日,34,04:09,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,广东,2017-02-12
