player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,43:26,是,12-21,2-6,11-12,0,8,4,3,2,4,0,0,13,2/2,41,浙江,2016-11-27
夏钰博,15,28:08,是,3-6,0-1,3-4,0,2,2,3,0,0,0,0,2,0/0,9,浙江,2016-11-27
陆文博,8,31:09,是,3-4,1-2,0-0,4,0,2,3,1,2,0,0,0,0/0,9,浙江,2016-11-27
张大宇,24,29:50,是,3-8,0-0,0-0,2,5,0,4,1,0,2,0,2,0/0,6,浙江,2016-11-27
赖俊豪,17,21:11,是,0-3,0-0,3-4,0,2,3,6,1,2,1,0,3,0/0,3,浙江,2016-11-27
科迪-拉兰,25,28:34,否,4-10,2-5,6-7,1,8,0,3,1,1,0,0,4,0/0,20,浙江,2016-11-27
吴前,33,32:41,否,0-0,2-9,2-2,1,3,0,2,0,3,1,0,2,0/0,8,浙江,2016-11-27
卢艺文,11,08:56,否,0-1,1-2,0-0,0,1,0,2,0,0,0,0,0,0/0,3,浙江,2016-11-27
刘丰博,2,04:34,否,0-0,1-2,0-0,0,0,0,0,0,0,0,0,0,0/0,3,浙江,2016-11-27
张永鹏,76,07:29,否,0-1,0-0,0-2,0,1,1,2,0,0,1,0,1,0/0,0,浙江,2016-11-27
邓愈鑫,13,04:02,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,1,5,0,0,0,1,0,0,0,0/0,0,浙江,2016-11-27
胡金秋,21,29:19,是,12-13,0-0,2-2,3,6,2,2,1,0,0,1,1,3/3,26,广厦,2016-11-27
福特森,4,36:00,是,3-11,2-7,10-12,1,7,9,4,1,2,0,0,12,0/0,22,广厦,2016-11-27
李京龙,9,28:05,是,0-2,2-8,0-0,0,0,2,2,1,0,0,0,0,0/0,6,广厦,2016-11-27
王征,13,12:00,是,2-2,0-0,1-1,0,4,0,1,0,0,0,0,1,0/0,5,广厦,2016-11-27
刘铮,11,24:48,是,2-6,0-1,0-0,0,1,1,2,0,1,0,0,1,0/0,4,广厦,2016-11-27
霍尔曼,32,36:00,否,10-13,0-0,5-6,5,15,2,4,2,4,3,0,4,0/0,25,广厦,2016-11-27
林志杰,27,25:10,否,2-3,2-5,3-3,0,1,3,5,2,2,0,0,2,0/0,13,广厦,2016-11-27
孙铭徽,17,10:11,否,4-5,0-0,2-2,0,0,3,2,0,0,0,0,1,0/0,10,广厦,2016-11-27
苏若禹,5,18:41,否,4-9,0-0,2-5,2,1,0,3,0,0,0,0,4,0/0,10,广厦,2016-11-27
赵大鹏,30,15:12,否,0-1,3-4,0-2,0,3,1,1,0,0,0,0,1,0/0,9,广厦,2016-11-27
张伟,24,04:34,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广厦,2016-11-27
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,广厦,2016-11-27
