player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
吴前,33,44,是,3-8,6-11,5-5,1,4,8,0,1,2,0,0,3,0/0,29,浙江,2018-11-16
汉斯布鲁,50,34,是,10-15,0-0,7-10,5,6,3,3,0,0,1,0,8,0/0,27,浙江,2018-11-16
赖俊豪,17,40,是,7-7,3-4,0-2,0,10,2,3,2,1,0,1,2,0/0,23,浙江,2018-11-16
程帅澎,6,39,是,1-2,1-3,3-3,1,2,3,5,2,1,0,0,3,0/0,8,浙江,2018-11-16
江凯,93,20,是,0-1,0-2,0-2,0,1,5,1,2,1,0,0,3,0/0,0,浙江,2018-11-16
邓蒙,12,37,否,8-13,2-7,11-12,0,7,6,2,2,1,0,0,9,0/0,33,浙江,2018-11-16
张大宇,24,9,否,1-1,0-0,1-1,0,0,0,0,0,0,0,0,1,0/0,3,浙江,2018-11-16
刘泽一,10,11,否,1-1,0-0,0-0,0,1,1,1,0,1,0,0,0,0/0,2,浙江,2018-11-16
王奕博,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
李宗翰,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
林孝天,5,2,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,浙江,2018-11-16
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
王仔路,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
朱旭航,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
孙岩松,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-16
亚当斯,4,43,是,8-10,4-20,5-5,0,5,14,2,3,3,0,0,7,0/0,33,新疆,2018-11-16
阿不都沙拉木,23,29,是,8-9,2-2,0-0,0,4,1,4,0,0,0,0,0,0/0,22,新疆,2018-11-16
孙桐林,55,18,是,5-7,0-0,0-0,1,0,2,2,1,1,0,0,0,0/0,10,新疆,2018-11-16
可兰白克,13,40,是,2-2,1-3,0-0,0,1,0,4,2,1,0,0,0,0/0,7,新疆,2018-11-16
周仪翔,27,14,是,1-3,0-2,0-0,0,3,1,3,0,0,0,0,0,0/0,2,新疆,2018-11-16
明纳拉斯,41,25,否,4-8,1-4,0-1,0,5,1,2,0,1,0,0,3,0/0,11,新疆,2018-11-16
李根,1,22,否,1-2,2-3,3-4,0,2,2,0,0,1,0,0,2,0/0,11,新疆,2018-11-16
范子铭,17,12,否,5-5,0-0,0-1,0,3,2,5,1,2,0,0,1,0/0,10,新疆,2018-11-16
曾令旭,6,21,否,0-1,0-1,2-2,1,0,1,2,0,1,0,0,1,0/0,2,新疆,2018-11-16
王子瑞,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
姜文,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
刘羽楠,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
俞长栋,7,12,否,0-0,0-0,0-0,1,0,1,5,0,0,0,0,1,0/0,0,新疆,2018-11-16
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-16
