player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,44:45,是,9-21,1-5,9-11,1,4,8,3,1,6,0,0,17,0/0,30,浙江,2016-12-04
张永鹏,76,33:56,是,6-6,0-0,0-0,1,7,0,6,0,4,0,1,1,0/0,12,浙江,2016-12-04
张大宇,24,30:39,是,4-8,0-0,2-4,4,8,1,4,3,2,4,0,3,0/0,10,浙江,2016-12-04
夏钰博,15,26:51,是,2-2,1-1,0-0,0,2,3,1,0,0,0,0,0,0/0,7,浙江,2016-12-04
陆文博,8,13:05,是,2-4,0-1,0-0,2,0,1,5,1,1,0,0,0,0/0,4,浙江,2016-12-04
吴前,33,42:58,否,6-11,1-7,0-0,1,1,1,4,1,2,1,0,0,1/1,15,浙江,2016-12-04
科迪-拉兰,25,24:00,否,6-8,0-6,2-2,2,6,0,4,0,2,1,4,3,0/0,14,浙江,2016-12-04
刘丰博,2,17:42,否,0-0,0-2,0-0,0,0,0,1,0,1,0,0,0,0/0,0,浙江,2016-12-04
赖俊豪,17,06:04,否,0-1,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-04
布鲁克斯,2,41:10,是,5-11,7-14,9-12,0,6,0,4,3,3,2,1,10,2/2,40,江苏,2016-12-04
李原宇,16,21:15,是,5-7,0-0,0-0,2,5,2,2,1,1,2,0,0,1/2,10,江苏,2016-12-04
柳伟,15,18:41,是,2-6,0-0,4-4,2,8,0,4,0,0,0,0,3,0/0,8,江苏,2016-12-04
易立,8,31:59,是,1-4,0-1,0-0,1,5,3,6,0,3,1,0,0,0/0,2,江苏,2016-12-04
常亚松,5,08:56,是,0-1,0-0,0-0,1,0,1,1,0,1,0,0,0,0/0,0,江苏,2016-12-04
萨缪尔斯,24,30:50,否,5-10,1-1,6-8,1,4,2,2,1,3,2,1,9,1/1,19,江苏,2016-12-04
胡雪峰,55,35:20,否,5-7,0-3,3-3,3,3,4,0,4,0,0,0,4,3/3,13,江苏,2016-12-04
常林,45,25:14,否,1-1,1-4,3-5,0,1,0,2,2,3,1,0,2,0/0,8,江苏,2016-12-04
陈磊,22,24:06,否,0-1,2-5,0-0,0,2,1,2,1,0,0,0,0,0/0,6,江苏,2016-12-04
曹飞,23,02:29,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,江苏,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,江苏,2016-12-04
