player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,42:59,是,9-17,6-8,14-14,3,5,4,0,2,5,1,0,11,2/2,50,浙江,2017-02-15
张大宇,24,38:40,是,7-15,0-1,0-0,2,4,2,3,2,2,4,1,1,0/0,14,浙江,2017-02-15
张永鹏,76,35:59,是,1-4,0-0,0-0,0,4,0,4,1,0,0,0,1,0/0,2,浙江,2017-02-15
夏钰博,15,20:50,是,1-3,0-1,0-0,0,2,2,4,0,0,0,0,1,0/0,2,浙江,2017-02-15
陆文博,8,16:53,是,1-4,0-0,0-0,1,3,0,3,1,1,0,0,1,0/0,2,浙江,2017-02-15
洛伦佐-布朗,23,27:28,否,5-11,3-9,0-0,1,1,1,0,3,4,0,0,0,0/1,19,浙江,2017-02-15
赖俊豪,17,18:56,否,2-4,0-1,2-2,1,1,1,2,0,0,0,1,1,1/1,6,浙江,2017-02-15
卢艺文,11,09:36,否,2-3,0-1,0-0,0,1,1,0,0,0,1,0,0,0/0,4,浙江,2017-02-15
吴前,33,26:14,否,2-3,0-3,0-0,0,1,2,2,2,2,0,0,1,0/0,4,浙江,2017-02-15
张正昕,28,02:25,否,0-0,0-0,2-2,1,1,0,0,0,0,0,0,1,0/0,2,浙江,2017-02-15
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,浙江,2017-02-15
杰里米-帕戈,2,39:11,是,9-15,3-5,0-0,1,4,7,1,1,1,0,0,3,0/0,27,深圳,2017-02-15
孟铎,3,34:35,是,4-10,2-5,0-0,2,2,1,2,1,2,0,0,2,0/0,14,深圳,2017-02-15
李慕豪,21,29:18,是,4-8,0-0,1-2,4,4,0,2,0,2,2,3,2,0/0,9,深圳,2017-02-15
代怀博,22,15:11,是,3-6,1-1,0-0,3,1,1,4,1,1,0,0,0,0/0,9,深圳,2017-02-15
顾全,12,39:03,是,4-9,0-0,0-0,0,4,2,2,1,2,1,0,2,1/1,8,深圳,2017-02-15
马齐-兰佩,30,32:49,否,15-23,1-1,4-4,5,12,2,4,3,5,2,0,5,3/3,37,深圳,2017-02-15
何忠勉,20,18:38,否,3-3,0-3,0-0,1,4,2,1,1,1,0,0,0,1/1,6,深圳,2017-02-15
沈梓捷,11,18:42,否,0-0,0-0,5-6,0,4,1,1,0,1,2,0,3,0/0,5,深圳,2017-02-15
赵捷,24,03:44,否,1-2,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,2,深圳,2017-02-15
于德豪,8,08:49,否,1-1,0-0,0-0,0,2,2,1,0,1,0,0,1,1/1,2,深圳,2017-02-15
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,0,深圳,2017-02-15
