player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威利-沃伦,32,29:41,是,4-8,2-8,5-5,1,2,6,0,1,2,0,0,3,0/0,19,浙江,2016-12-25
赖俊豪,17,28:21,是,4-7,2-2,3-4,5,1,1,2,1,2,0,0,4,0/0,17,浙江,2016-12-25
张永鹏,76,32:36,是,8-10,0-0,0-2,3,4,3,4,0,1,0,4,5,0/0,16,浙江,2016-12-25
夏钰博,15,23:09,是,4-5,0-0,4-5,0,3,1,0,0,0,0,0,4,1/1,12,浙江,2016-12-25
陆文博,8,19:52,是,0-1,0-2,0-0,2,0,0,4,4,2,0,0,2,0/0,0,浙江,2016-12-25
洛伦佐-布朗,23,42:19,否,7-15,2-12,12-15,2,8,10,3,6,1,0,2,10,3/3,32,浙江,2016-12-25
吴前,33,24:51,否,2-5,4-6,2-4,0,2,0,2,5,1,0,0,3,0/0,18,浙江,2016-12-25
张大宇,24,29:21,否,3-8,0-0,0-0,2,0,1,3,2,0,0,1,0,0/0,6,浙江,2016-12-25
张正昕,28,03:41,否,0-1,0-0,0-0,1,1,0,5,0,0,0,0,0,0/0,0,浙江,2016-12-25
赵杭,26,02:01,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-25
王哲林,31,45:00,是,13-17,0-1,4-4,4,6,1,2,2,6,0,2,6,0/0,30,福建,2016-12-25
德怀特-拜克斯,38,42:25,是,9-12,2-7,2-3,0,3,7,3,0,9,0,0,6,1/1,26,福建,2016-12-25
黄毅超,14,17:38,是,2-3,3-6,0-0,2,3,0,6,0,1,0,0,0,0/0,13,福建,2016-12-25
赵泰隆,9,22:43,是,0-0,1-2,0-0,0,2,0,6,1,1,0,0,1,0/0,3,福建,2016-12-25
孙椿棚,13,17:09,是,1-1,0-0,0-0,2,2,0,4,0,2,0,0,1,0/0,2,福建,2016-12-25
J.J-希克森,21,28:03,否,7-9,0-0,5-8,0,13,2,0,1,2,2,2,6,1/1,19,福建,2016-12-25
胡珑贸,10,28:44,否,2-3,2-6,1-1,0,2,1,6,0,0,1,0,1,0/0,11,福建,2016-12-25
周启新,1,26:25,否,2-3,0-2,2-2,0,0,3,3,0,1,0,0,2,0/0,6,福建,2016-12-25
陈世杰,8,03:41,否,1-1,0-1,0-0,0,0,0,0,0,0,0,0,0,1/1,2,福建,2016-12-25
李江淮,5,02:24,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,福建,2016-12-25
郭磊,11,05:48,否,0-0,0-2,0-0,1,1,1,0,0,0,0,0,0,0/0,0,福建,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,1,0,0,0,0/0,0,福建,2016-12-25
