player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
张大宇,24,26:38,是,9-13,0-0,3-3,0,2,0,3,1,0,0,1,4,1/1,21,浙江,2016-12-18
张永鹏,76,34:18,是,7-9,0-0,1-4,3,6,0,5,2,2,0,1,4,1/1,15,浙江,2016-12-18
威利-沃伦,32,33:54,是,3-6,2-9,3-4,0,6,10,5,2,2,0,0,5,2/2,15,浙江,2016-12-18
夏钰博,15,27:17,是,7-10,0-2,0-0,0,1,0,2,1,2,0,0,1,1/1,14,浙江,2016-12-18
陆文博,8,09:19,是,1-1,0-1,0-0,1,0,1,0,0,0,0,0,2,0/0,2,浙江,2016-12-18
洛伦佐-布朗,23,38:06,否,6-10,0-5,1-1,2,9,8,1,7,2,0,1,6,1/1,13,浙江,2016-12-18
吴前,33,33:42,否,2-5,2-5,1-2,3,5,4,2,0,1,0,0,2,0/0,11,浙江,2016-12-18
赖俊豪,17,26:36,否,3-6,0-3,3-3,0,0,0,5,2,3,0,1,2,1/1,9,浙江,2016-12-18
赵杭,26,05:33,否,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,浙江,2016-12-18
张正昕,28,02:55,否,0-1,0-0,0-2,0,0,0,1,0,0,0,0,1,0/0,0,浙江,2016-12-18
刘丰博,2,01:42,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,浙江,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-18
哈德森,14,44:23,是,7-15,3-20,4-4,3,3,1,2,2,2,0,0,5,0/0,27,辽宁,2016-12-18
韩德君,55,37:00,是,6-7,0-0,3-4,3,11,0,5,0,7,0,2,3,0/0,15,辽宁,2016-12-18
郭艾伦,13,36:48,是,5-7,1-5,2-4,1,4,3,4,1,3,1,0,5,1/1,15,辽宁,2016-12-18
丛明晨,10,20:56,是,1-1,1-2,2-2,1,1,0,5,0,2,1,0,2,0/0,7,辽宁,2016-12-18
廉明,21,21:22,是,1-2,1-1,1-1,2,0,0,0,0,2,0,0,1,0/0,6,辽宁,2016-12-18
兰多夫,42,27:37,否,6-15,0-3,6-10,6,8,1,4,1,4,2,1,5,1/1,18,辽宁,2016-12-18
赵继伟,3,20:45,否,1-2,0-0,2-2,0,4,0,3,0,1,0,0,2,0/0,4,辽宁,2016-12-18
杨鸣,12,07:16,否,1-1,0-0,2-2,0,0,0,1,0,0,0,0,1,0/0,4,辽宁,2016-12-18
刘志轩,11,23:53,否,0-0,0-0,0-0,2,3,0,3,0,0,0,0,0,0/0,0,辽宁,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,0,4,0,0,0,0,0,0,0,0/0,0,辽宁,2016-12-18
