player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
威姆斯,13,39,是,16-27,0-5,3-6,0,7,10,1,2,3,0,0,4,0/0,35,浙江,2018-01-07
吴前,33,32,是,3-6,0-4,6-6,1,4,5,2,2,1,0,0,3,0/0,12,浙江,2018-01-07
赖俊豪,17,37,是,2-4,1-2,3-7,1,9,1,5,0,1,2,0,7,0/0,10,浙江,2018-01-07
张大宇,24,20,是,4-8,0-0,0-2,2,3,0,3,0,1,2,1,1,0/0,8,浙江,2018-01-07
程帅澎,6,19,是,2-2,0-0,0-0,0,2,1,5,1,0,0,0,0,0/0,4,浙江,2018-01-07
斯托克斯,12,27,否,8-12,0-1,4-6,8,8,2,4,1,4,0,0,7,0/0,20,浙江,2018-01-07
陆文博,8,29,否,2-2,2-6,0-0,0,1,0,0,0,0,0,0,0,0/0,10,浙江,2018-01-07
江凯,93,20,否,1-3,1-3,0-0,2,3,0,2,0,0,1,0,1,0/0,5,浙江,2018-01-07
刘泽一,10,10,否,1-1,0-0,0-0,1,2,1,3,0,0,0,0,0,0/0,2,浙江,2018-01-07
张家丰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
李宗翰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
张永鹏,76,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
惠龙儿,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-01-07
王奕博,7,3,否,0-0,0-0,0-0,0,1,1,1,0,1,0,0,0,0/0,0,浙江,2018-01-07
吉布森,22,38,是,11-14,0-5,8-12,3,8,2,3,1,3,1,0,12,0/0,30,青岛,2018-01-07
苏伟,9,25,是,2-4,0-0,3-4,3,4,0,3,1,2,2,0,4,0/0,7,青岛,2018-01-07
刘书楠,7,8,是,1-3,0-1,0-0,0,1,0,0,0,1,0,0,0,0/0,2,青岛,2018-01-07
田嘉夫,14,5,是,0-3,0-1,0-0,1,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
许家晗,3,21,是,0-3,0-2,0-0,0,4,1,2,0,1,0,0,1,0/0,0,青岛,2018-01-07
丁皓然,33,43,否,7-10,2-4,2-2,2,3,0,0,0,1,1,0,1,0/0,22,青岛,2018-01-07
王庆明,32,20,否,3-6,0-0,4-6,0,6,1,4,1,1,0,0,5,0/0,10,青岛,2018-01-07
刁成灏,27,23,否,1-4,2-6,1-1,0,2,1,6,0,0,0,0,2,0/0,9,青岛,2018-01-07
张骋宇,6,28,否,1-8,1-2,2-2,1,0,4,2,3,2,0,0,1,0/0,7,青岛,2018-01-07
孙杰,17,19,否,1-1,1-4,0-0,0,2,1,2,0,0,0,0,0,0/0,5,青岛,2018-01-07
刘鸿博,91,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
张昊,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
赵捷,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
高尚,0,4,否,0-2,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,青岛,2018-01-07
宗赞,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
马齐-兰佩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
单梓桐,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-01-07
