player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杰里米-帕戈,2,44:04,是,9-15,1-7,10-13,0,8,3,2,2,3,0,1,8,1/1,31,深圳,2017-01-04
李慕豪,21,34:33,是,10-15,0-0,2-2,4,2,2,3,0,1,2,3,2,0/0,22,深圳,2017-01-04
顾全,12,35:28,是,6-10,1-2,2-2,1,5,1,4,1,1,0,0,2,0/0,17,深圳,2017-01-04
孟铎,3,34:24,是,1-4,2-3,1-2,0,0,5,5,1,1,0,0,2,0/0,9,深圳,2017-01-04
沈梓捷,11,12:31,是,2-3,0-0,1-2,1,2,0,0,1,1,0,1,1,0/0,5,深圳,2017-01-04
马齐-兰佩,30,27:56,否,6-12,1-1,0-1,1,6,1,3,0,2,0,0,2,0/0,15,深圳,2017-01-04
张凯,7,17:36,否,2-3,0-0,0-0,0,4,2,2,1,0,1,0,1,0/0,4,深圳,2017-01-04
何忠勉,20,11:20,否,0-2,0-1,0-0,0,1,1,3,0,1,2,0,3,0/0,0,深圳,2017-01-04
代怀博,22,03:37,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-01-04
于德豪,8,15:08,否,0-2,0-0,0-0,2,1,3,4,0,0,0,0,1,0/0,0,深圳,2017-01-04
赵捷,24,03:23,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,1,0/0,0,深圳,2017-01-04
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,1,0/0,0,深圳,2017-01-04
弗雷戴特,32,35:42,是,5-16,5-9,5-5,0,5,4,3,0,3,0,0,11,0/0,30,上海,2017-01-04
张兆旭,23,24:52,是,5-5,0-0,0-0,0,0,1,6,1,4,0,1,1,0/0,10,上海,2017-01-04
刘晓宇,10,42:35,是,1-5,1-4,0-0,0,2,2,4,0,4,0,0,1,0/0,5,上海,2017-01-04
翟逸,22,31:19,是,2-4,0-0,0-2,1,0,4,1,0,2,1,0,3,0/0,4,上海,2017-01-04
曾文鼎,76,08:22,是,0-0,1-1,0-0,0,1,1,0,0,0,0,0,0,0/0,3,上海,2017-01-04
亚布塞莱,16,36:18,否,7-9,3-8,5-8,1,14,2,3,3,0,2,3,7,1/1,28,上海,2017-01-04
吴冠希,11,18:52,否,3-4,0-0,2-2,1,4,0,1,0,0,0,1,0,0/0,8,上海,2017-01-04
蔡亮,1,20:43,否,0-0,1-2,4-4,1,2,0,4,0,0,0,0,3,0/0,7,上海,2017-01-04
卢伟,12,16:16,否,0-0,2-4,0-0,0,1,0,1,0,0,0,0,0,0/0,6,上海,2017-01-04
葛暘,24,01:09,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-01-04
鞠鹏,9,03:52,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2017-01-04
