player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
顾全,12,24:00,是,9-9,1-4,1-2,0,2,1,4,2,0,0,0,1,3/3,22,深圳,2017-01-22
孟铎,3,27:21,是,1-2,2-4,2-2,1,0,3,2,0,3,0,0,1,0/0,10,深圳,2017-01-22
沈梓捷,11,28:31,是,4-8,0-0,0-0,2,11,1,5,1,2,1,3,1,0/0,8,深圳,2017-01-22
李慕豪,21,20:40,是,2-3,0-0,3-6,0,2,2,1,0,1,0,1,3,0/0,7,深圳,2017-01-22
杰里米-帕戈,2,14:42,是,1-2,0-2,0-0,0,2,2,1,1,1,0,0,0,0/0,2,深圳,2017-01-22
马齐-兰佩,30,23:19,否,9-12,3-4,0-0,1,7,2,1,1,2,0,1,2,0/0,27,深圳,2017-01-22
赵捷,24,21:30,否,1-1,3-7,0-0,0,2,2,1,1,1,0,0,0,0/0,11,深圳,2017-01-22
邱彪,13,10:07,否,2-3,1-2,0-0,0,2,1,0,1,0,0,0,0,0/0,7,深圳,2017-01-22
何忠勉,20,20:11,否,0-0,2-2,0-0,0,1,2,4,0,0,0,0,1,0/0,6,深圳,2017-01-22
于德豪,8,24:36,否,1-2,1-1,0-0,1,4,3,2,0,2,0,0,0,0/0,5,深圳,2017-01-22
代怀博,22,10:08,否,2-2,0-0,1-1,1,1,0,4,0,4,0,0,2,0/0,5,深圳,2017-01-22
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,深圳,2017-01-22
邹雨宸,10,31:56,是,10-17,0-1,3-4,1,5,1,2,3,3,0,2,3,0/0,23,八一,2017-01-22
曹岩,8,23:50,是,3-6,0-4,0-1,1,1,3,2,4,0,0,0,2,0/0,6,八一,2017-01-22
刘航初,9,14:33,是,1-5,0-1,2-2,1,1,0,1,0,1,0,0,1,0/0,4,八一,2017-01-22
许钟豪,24,27:49,是,1-2,0-0,0-2,0,7,4,2,0,4,1,1,3,0/0,2,八一,2017-01-22
李天戈,6,14:53,是,0-0,0-0,2-2,1,2,0,0,0,1,0,0,1,0/0,2,八一,2017-01-22
付豪,1,22:08,否,5-8,0-0,0-0,0,4,0,0,0,1,0,0,0,0/0,10,八一,2017-01-22
阿尔斯兰,5,33:07,否,1-3,2-6,2-2,0,0,1,2,1,2,0,0,2,0/0,10,八一,2017-01-22
雷蒙,11,30:01,否,2-5,0-4,4-5,1,2,2,1,1,0,0,0,4,0/0,8,八一,2017-01-22
张祖铭,20,21:15,否,2-4,0-2,3-4,2,0,0,0,0,1,0,1,3,0/0,7,八一,2017-01-22
宁鸿宇,16,06:13,否,1-2,0-0,4-4,0,0,0,0,1,0,1,0,2,0/0,6,八一,2017-01-22
余晨,15,07:54,否,2-4,0-0,0-0,0,0,2,3,1,0,0,0,3,0/0,4,八一,2017-01-22
德勒黑,22,06:21,否,0-0,1-1,0-0,0,0,0,0,0,1,0,0,0,0/0,3,八一,2017-01-22
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,八一,2017-01-22
