player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,0,41,是,11-17,2-4,11-13,3,12,2,3,1,3,0,0,13,0/0,39,深圳,2018-01-28
孟铎,3,37,是,4-6,4-6,0-0,0,1,2,5,3,1,0,0,0,0/0,20,深圳,2018-01-28
李慕豪,9,33,是,4-6,0-1,4-7,4,6,1,1,2,1,0,1,5,0/0,12,深圳,2018-01-28
顾全,12,39,是,2-5,2-4,2-4,0,1,3,4,0,0,0,0,4,0/0,12,深圳,2018-01-28
白昊天,10,21,是,4-5,0-1,0-0,0,1,2,2,0,2,0,0,0,0/0,8,深圳,2018-01-28
泰瑞斯-莱斯,4,30,否,4-10,1-3,3-3,1,5,4,3,0,3,0,0,2,0/0,14,深圳,2018-01-28
沈梓捷,28,20,否,3-5,0-0,0-1,0,3,1,1,0,1,0,1,2,0/0,6,深圳,2018-01-28
何忠勉,20,15,否,1-2,0-0,3-3,0,1,1,5,1,1,0,0,2,0/0,5,深圳,2018-01-28
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
于德豪,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
杨林祎,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
李想,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
卢艺文,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-28
翟晓川,20,36,是,5-6,2-4,7-8,0,6,0,6,2,1,1,0,5,0/0,23,北京,2018-01-28
汉密尔顿,41,36,是,10-14,0-3,1-3,1,7,0,1,1,1,1,1,3,0/0,21,北京,2018-01-28
方硕,8,32,是,3-7,2-6,2-2,1,1,4,1,2,2,0,0,2,0/0,14,北京,2018-01-28
吉喆,51,23,是,0-0,0-2,0-0,1,4,0,5,0,0,1,0,0,0/0,0,北京,2018-01-28
王骁辉,33,35,是,0-0,0-3,0-0,1,1,0,3,1,1,0,0,1,0/0,0,北京,2018-01-28
艾伦-杰克逊,7,35,否,9-11,5-7,8-8,0,4,8,2,2,3,0,0,11,0/0,41,北京,2018-01-28
朱彦西,13,25,否,2-4,2-5,0-0,3,1,0,6,0,1,0,0,1,0/0,10,北京,2018-01-28
刘晓宇,10,8,否,0-5,0-0,0-0,0,0,2,2,2,0,0,0,0,0/0,0,北京,2018-01-28
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
段江鹏,11,3,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
丘天,19,2,否,0-0,0-0,0-0,0,0,0,2,0,1,0,0,1,0/0,0,北京,2018-01-28
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
常林,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-01-28
