player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,0,38,是,5-10,2-5,3-4,2,15,7,1,1,4,2,0,7,0/0,19,深圳,2018-01-26
孟铎,3,37,是,3-5,3-7,3-3,0,3,2,2,1,2,0,0,2,0/0,18,深圳,2018-01-26
李慕豪,9,32,是,7-9,1-2,0-0,1,9,2,2,0,1,2,2,0,0/0,17,深圳,2018-01-26
顾全,12,20,是,1-5,2-6,2-2,0,2,0,3,1,1,0,0,1,0/0,10,深圳,2018-01-26
白昊天,10,22,是,3-4,0-0,0-0,0,1,3,1,0,0,0,2,0,0/0,6,深圳,2018-01-26
泰瑞斯-莱斯,4,31,否,4-7,3-7,4-4,1,5,7,3,1,3,0,0,6,0/0,21,深圳,2018-01-26
何忠勉,20,27,否,2-2,1-2,4-5,1,4,1,2,1,5,1,0,4,0/0,11,深圳,2018-01-26
沈梓捷,28,23,否,5-9,0-0,0-0,1,7,0,1,1,1,2,3,1,0/0,10,深圳,2018-01-26
卢艺文,55,2,否,0-0,1-3,0-0,0,0,0,0,0,0,1,0,0,0/0,3,深圳,2018-01-26
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
于德豪,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
杨林祎,7,4,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
李想,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-01-26
许梦君,9,27,是,2-5,4-7,0-0,1,1,1,2,0,3,0,0,0,0/0,16,北控,2018-01-26
杨敬敏,6,24,是,2-5,2-4,5-6,1,5,2,1,2,1,0,0,6,0/0,15,北控,2018-01-26
马布里,3,30,是,1-11,1-5,2-2,0,4,3,1,2,2,0,0,1,0/0,7,北控,2018-01-26
王征,28,19,是,1-2,0-0,0-0,0,4,1,0,1,1,0,0,0,0/0,2,北控,2018-01-26
于梁,11,18,是,0-4,0-1,0-0,2,4,4,2,0,0,0,0,0,0/0,0,北控,2018-01-26
兰多夫,42,41,否,11-18,3-10,1-2,6,12,1,5,1,2,1,1,4,0/0,32,北控,2018-01-26
贺希宁,0,28,否,3-6,1-2,1-1,1,1,3,4,4,1,0,0,2,0/0,10,北控,2018-01-26
于澍龙,5,15,否,1-6,0-1,2-2,0,0,2,2,1,1,0,0,1,0/0,4,北控,2018-01-26
宋康明,21,13,否,2-6,0-0,0-0,1,2,1,1,0,0,0,0,0,0/0,4,北控,2018-01-26
李雪松,7,13,否,0-0,1-2,0-2,1,2,1,1,1,0,0,0,1,0/0,3,北控,2018-01-26
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
阿巴斯,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
杨庚霖,10,3,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
滕贺麒,6,2,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,北控,2018-01-26
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-01-26
