player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,0,40,是,9-15,1-3,2-5,4,10,8,4,0,2,1,0,8,0/0,23,深圳,2017-12-15
顾全,12,28,是,5-10,2-6,4-4,2,0,1,1,1,0,0,0,3,0/0,20,深圳,2017-12-15
李慕豪,9,30,是,4-4,0-0,2-2,1,6,0,4,0,2,0,2,1,0/0,10,深圳,2017-12-15
何忠勉,20,15,是,2-3,2-3,0-0,1,0,1,3,2,0,0,0,2,0/0,10,深圳,2017-12-15
白昊天,10,24,是,3-6,0-0,2-2,1,2,3,2,1,1,0,0,2,0/0,8,深圳,2017-12-15
孟铎,3,23,否,3-6,8-10,4-4,0,1,0,3,1,1,0,0,2,0/0,34,深圳,2017-12-15
朗福德,5,29,否,4-9,1-5,3-4,0,4,4,2,3,0,0,0,3,0/0,14,深圳,2017-12-15
卢艺文,55,17,否,1-1,1-2,1-2,0,1,0,3,1,0,0,0,1,0/0,6,深圳,2017-12-15
沈梓捷,28,7,否,1-1,0-0,0-0,0,3,0,1,0,0,0,1,0,0/0,2,深圳,2017-12-15
于德豪,19,22,否,1-2,0-1,0-0,0,4,4,6,0,1,0,0,1,0/0,2,深圳,2017-12-15
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
杨林祎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-15
韦弗,13,34,是,7-11,5-8,6-9,0,7,3,0,1,3,1,0,10,0/0,35,吉林,2017-12-15
高诗岩,0,35,是,7-10,1-1,4-4,1,4,2,5,3,1,0,0,2,0/0,21,吉林,2017-12-15
崔晋铭,5,22,是,1-1,1-3,0-0,1,1,0,2,1,2,0,0,0,0/0,5,吉林,2017-12-15
代怀博,22,32,是,0-1,1-3,0-0,1,6,1,3,0,1,1,0,1,0/0,3,吉林,2017-12-15
张彪,14,11,是,1-2,0-0,0-0,0,0,0,4,0,2,0,0,0,0/0,2,吉林,2017-12-15
蔡李龙,20,33,否,1-3,8-12,0-0,0,4,1,2,0,0,0,0,2,0/0,26,吉林,2017-12-15
兰德里,24,36,否,5-14,0-0,15-16,3,6,3,3,1,2,1,1,10,0/0,25,吉林,2017-12-15
刘天意,1,5,否,0-1,0-0,1-2,0,1,1,1,0,0,1,0,1,0/0,1,吉林,2017-12-15
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-15
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-15
廉明,10,12,否,0-1,0-1,0-0,0,0,1,2,0,1,0,0,2,0/0,0,吉林,2017-12-15
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-15
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-15
柴长易,6,5,否,0-2,0-0,0-0,0,0,0,1,0,0,1,0,0,0/0,0,吉林,2017-12-15
李安,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-15
姚天一,3,10,否,0-0,0-0,0-0,1,0,2,0,0,0,0,0,1,0/0,0,吉林,2017-12-15
