player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杰里米-帕戈,2,38:50,是,8-18,2-8,2-2,1,4,9,2,2,3,0,1,2,2/4,24,深圳,2016-11-18
李慕豪,21,24:23,是,7-12,0-0,1-3,3,4,0,6,1,2,1,2,2,0/0,15,深圳,2016-11-18
张凯,7,25:15,是,4-6,0-0,3-3,5,5,0,1,1,0,0,0,2,0/0,11,深圳,2016-11-18
孟铎,3,31:31,是,3-6,1-3,1-2,0,3,3,2,0,0,0,0,2,1/1,10,深圳,2016-11-18
顾全,12,31:25,是,1-5,2-3,1-2,1,3,3,2,1,1,0,0,1,1/1,9,深圳,2016-11-18
马齐-兰佩,30,33:10,否,5-13,2-5,5-5,1,5,1,2,2,2,0,0,5,1/1,21,深圳,2016-11-18
赵捷,24,23:25,否,5-6,2-4,1-1,1,1,1,2,0,0,0,1,1,2/2,17,深圳,2016-11-18
沈梓捷,11,03:28,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,深圳,2016-11-18
代怀博,22,09:44,否,0-1,0-0,0-0,0,2,0,0,0,0,0,0,2,0/0,0,深圳,2016-11-18
于德豪,8,09:10,否,0-1,0-2,0-0,0,0,1,0,1,0,0,0,1,0/0,0,深圳,2016-11-18
邱彪,13,04:21,否,0-0,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,深圳,2016-11-18
何忠勉,20,05:18,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2016-11-18
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,深圳,2016-11-18
哈达迪,15,37:05,是,7-7,0-0,7-11,4,10,2,1,0,6,1,2,7,0/0,21,四川,2016-11-18
孟达,12,44:53,是,4-10,4-6,0-0,1,4,1,2,1,2,2,0,0,0/0,20,四川,2016-11-18
张春军,20,38:46,是,2-6,2-3,2-2,4,5,1,4,2,2,0,0,2,0/0,12,四川,2016-11-18
王汝恒,24,38:37,是,3-5,1-4,1-1,0,2,7,2,1,1,0,0,1,0/0,10,四川,2016-11-18
陈晓东,30,04:42,是,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,四川,2016-11-18
约什-史密斯,5,32:46,否,7-14,4-14,2-5,1,8,2,2,0,4,5,1,5,0/0,28,四川,2016-11-18
蔡晨,7,11:03,否,1-2,0-1,2-2,0,2,0,1,0,1,0,0,1,1/1,4,四川,2016-11-18
吴楠,10,12:45,否,1-2,0-1,1-1,1,0,0,2,0,0,0,0,1,1/1,3,四川,2016-11-18
杨越,6,11:05,否,1-2,0-0,0-0,0,0,1,4,0,0,0,0,0,0/0,2,四川,2016-11-18
徐韬,9,05:01,否,0-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,四川,2016-11-18
陈辰,32,03:28,否,0-0,0-0,0-0,1,2,0,0,0,2,0,0,0,0/0,0,四川,2016-11-18
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,四川,2016-11-18
