player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,92,37,是,7-11,3-6,3-3,3,14,10,1,1,3,0,0,5,0/0,26,深圳,2018-11-10
顾全,12,30,是,3-6,3-7,0-0,2,1,1,2,1,2,0,0,1,0/0,15,深圳,2018-11-10
于德豪,19,16,是,3-3,2-4,3-3,0,2,2,1,3,4,0,0,2,0/0,15,深圳,2018-11-10
郭晓鹏,1,23,是,4-7,1-1,2-3,0,0,3,3,0,0,0,0,2,0/0,13,深圳,2018-11-10
李慕豪,9,23,是,4-8,0-2,3-4,1,5,2,3,2,1,1,1,2,0/0,11,深圳,2018-11-10
肯尼-伯顿,2,32,否,8-8,5-7,7-7,1,3,6,0,0,0,0,1,4,0/0,38,深圳,2018-11-10
卢艺文,55,15,否,0-3,3-3,2-2,2,1,0,1,2,0,0,0,1,0/0,11,深圳,2018-11-10
邱彪,13,16,否,0-1,3-4,0-0,0,0,1,3,0,1,0,0,0,0/0,9,深圳,2018-11-10
杨林祎,6,8,否,1-2,2-4,0-0,0,1,2,0,1,0,0,0,1,0/0,8,深圳,2018-11-10
沈梓捷,11,19,否,2-4,0-0,0-0,2,1,1,1,3,1,0,1,0,0/0,4,深圳,2018-11-10
贺希宁,3,15,否,1-1,0-0,0-0,0,0,0,4,0,0,0,0,0,0/0,2,深圳,2018-11-10
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-10
罗切斯特,22,45,是,6-14,9-10,7-7,2,4,8,1,1,7,0,0,5,0/0,46,天津,2018-11-10
阿尔德里奇,45,26,是,12-19,0-0,3-3,7,4,2,1,0,2,2,3,3,0/0,27,天津,2018-11-10
刘帅,12,39,是,4-5,5-10,4-6,1,2,2,4,4,2,0,0,6,0/0,27,天津,2018-11-10
时德帅,23,38,是,3-9,2-5,3-3,3,6,1,3,2,3,0,0,3,0/0,15,天津,2018-11-10
金鑫,10,5,是,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,天津,2018-11-10
徐磊,5,19,否,1-1,1-4,0-0,0,1,1,1,0,0,0,0,0,0/0,5,天津,2018-11-10
孟祥龙,14,14,否,1-3,0-2,1-1,1,0,0,0,0,0,0,0,1,0/0,3,天津,2018-11-10
田野,17,25,否,0-0,1-3,0-0,0,4,2,3,0,1,0,0,0,0/0,3,天津,2018-11-10
张智涵,9,13,否,1-3,0-2,0-0,1,1,2,0,0,2,0,0,0,0/0,2,天津,2018-11-10
张晓阳,33,9,否,0-0,0-0,2-2,1,0,1,3,0,1,0,0,1,0/0,2,天津,2018-11-10
李荣培,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
高森堡,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
栾晓君,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
田雨,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
刘伟,21,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
于刚,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
史仪,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-11-10
