player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,92,32,是,7-12,2-3,5-7,1,12,3,2,0,2,0,0,7,0/0,25,深圳,2018-11-23
李慕豪,9,28,是,7-7,0-2,2-4,3,3,0,4,1,2,1,3,3,0/0,16,深圳,2018-11-23
顾全,12,25,是,3-8,2-4,0-0,0,2,3,3,1,0,0,0,0,0/0,12,深圳,2018-11-23
于德豪,19,28,是,2-7,2-4,2-2,2,3,1,4,3,0,0,0,3,0/0,12,深圳,2018-11-23
贺希宁,3,20,是,2-6,0-1,0-0,3,0,3,4,0,0,1,0,0,0/0,4,深圳,2018-11-23
肯尼-伯顿,2,38,否,5-7,4-9,5-6,1,8,5,0,2,2,0,0,5,0/0,27,深圳,2018-11-23
卢艺文,55,28,否,0-4,2-4,2-2,3,3,1,5,2,0,0,0,1,0/0,8,深圳,2018-11-23
邱彪,13,20,否,1-1,2-5,0-0,1,1,0,0,0,1,0,0,1,0/0,8,深圳,2018-11-23
韩驭丰,14,2,否,0-0,1-2,0-0,1,0,0,0,0,0,0,0,0,0/0,3,深圳,2018-11-23
张凯,7,4,否,0-0,0-0,1-2,0,0,0,1,0,1,0,0,1,0/0,1,深圳,2018-11-23
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
杨林祎,6,2,否,0-1,0-1,0-0,1,1,2,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
郭晓鹏,1,7,否,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
沈梓捷,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-23
莫泰尤纳斯,12,41,是,8-15,2-3,6-9,0,14,6,4,0,3,2,1,14,0/0,28,山东,2018-11-23
张庆鹏,9,44,是,2-4,3-6,5-5,0,2,1,2,2,3,0,0,4,0/0,18,山东,2018-11-23
陶汉林,20,35,是,5-10,0-0,0-0,3,1,0,5,1,1,1,2,0,0/0,10,山东,2018-11-23
吴楠,38,42,是,0-3,2-6,0-0,1,3,2,4,1,1,0,0,2,0/0,6,山东,2018-11-23
李泓翰,7,18,是,1-4,0-2,0-0,1,2,1,1,0,1,0,0,0,0/0,2,山东,2018-11-23
古德洛克,3,31,否,5-8,5-12,0-0,0,1,4,1,1,4,0,0,3,0/0,25,山东,2018-11-23
贾诚,23,19,否,1-2,0-1,0-0,2,4,0,2,0,1,0,0,0,0/0,2,山东,2018-11-23
吴轲,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
潘宁,5,4,否,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,山东,2018-11-23
张春军,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
王汝恒,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
文雁行,17,3,否,0-0,0-0,0-0,0,0,0,2,0,1,0,0,0,0/0,0,山东,2018-11-23
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-11-23
