player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杰里米-帕戈,2,37:32,是,11-16,0-7,3-8,0,7,6,5,1,4,0,1,5,4/4,25,深圳,2016-11-02
顾全,12,42:40,是,3-4,2-4,5-7,1,3,1,3,3,3,1,0,5,0/0,17,深圳,2016-11-02
李慕豪,21,33:18,是,7-10,0-0,2-7,3,5,0,3,0,4,1,2,9,0/0,16,深圳,2016-11-02
孟铎,3,35:14,是,0-1,2-6,0-1,0,3,1,1,0,1,0,0,1,0/0,6,深圳,2016-11-02
沈梓捷,11,04:22,是,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,深圳,2016-11-02
马齐-兰佩,30,32:58,否,7-15,0-2,4-4,3,11,1,2,1,0,1,0,3,0/0,18,深圳,2016-11-02
代怀博,22,20:08,否,0-0,0-1,3-4,1,3,0,1,0,1,0,0,2,0/0,3,深圳,2016-11-02
赵捷,24,05:52,否,1-3,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,2,深圳,2016-11-02
于德豪,8,10:25,否,0-1,0-0,2-4,0,1,0,2,2,2,0,0,2,0/0,2,深圳,2016-11-02
张凯,7,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2016-11-02
何忠勉,20,12:08,否,0-1,0-0,0-0,0,2,0,1,1,3,0,0,1,0/0,0,深圳,2016-11-02
邱彪,13,05:08,否,0-2,0-0,0-0,0,4,0,1,0,0,0,0,1,0/0,0,深圳,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,4,0,0,0,0,0,0,0,0,0/0,0,深圳,2016-11-02
唐纳德-斯隆,23,38:43,是,7-19,0-4,5-7,1,5,7,2,1,2,0,0,5,1/1,19,广东,2016-11-02
易建联,9,24:59,是,6-11,0-4,1-6,0,3,1,2,0,1,3,1,2,1/1,13,广东,2016-11-02
周湛东,13,19:20,是,0-0,2-2,0-0,3,2,2,5,1,0,0,0,2,0/0,6,广东,2016-11-02
董瀚麟,16,18:38,是,2-3,0-0,0-0,0,3,0,5,2,1,0,2,1,1/1,4,广东,2016-11-02
朱芳雨,8,16:47,是,0-2,1-3,0-0,1,0,0,1,0,0,0,0,1,0/0,3,广东,2016-11-02
布泽尔,5,33:14,否,7-19,0-0,4-8,4,8,0,2,0,2,1,0,5,0/0,18,广东,2016-11-02
任骏飞,20,30:33,否,3-6,2-2,0-0,0,5,2,5,4,2,1,1,1,1/1,12,广东,2016-11-02
赵睿,0,25:11,否,3-5,0-1,0-0,2,4,1,4,3,3,0,0,1,1/1,6,广东,2016-11-02
陈江华,6,14:05,否,2-3,0-0,0-0,1,2,0,1,0,0,0,0,0,0/0,4,广东,2016-11-02
高尚,3,14:25,否,0-0,1-1,0-0,1,0,0,0,0,2,1,0,0,0/0,3,广东,2016-11-02
赵天熠,26,03:50,否,0-0,0-0,0-0,0,0,0,3,0,0,0,0,0,0/0,0,广东,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,1,0,0,0,0/0,0,广东,2016-11-02
