player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,92,36,是,12-19,2-6,1-3,4,13,1,3,2,0,1,0,7,0/0,31,深圳,2018-11-02
杨林祎,6,33,是,3-5,1-4,5-6,4,5,3,3,2,0,0,0,3,0/0,14,深圳,2018-11-02
郭晓鹏,1,32,是,1-4,1-3,5-6,2,1,1,6,2,0,0,0,3,0/0,10,深圳,2018-11-02
李慕豪,9,24,是,3-6,0-0,0-0,2,5,2,3,1,2,1,1,0,0/0,6,深圳,2018-11-02
顾全,12,26,是,1-4,0-4,4-6,1,0,3,5,1,4,0,0,4,0/0,6,深圳,2018-11-02
肯尼-伯顿,2,35,否,10-14,3-12,5-6,1,5,1,1,2,0,0,1,5,0/0,34,深圳,2018-11-02
沈梓捷,11,24,否,3-7,0-0,4-4,5,2,0,1,0,3,2,2,2,0/0,10,深圳,2018-11-02
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
于德豪,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
贺希宁,3,8,否,0-1,0-2,0-0,1,0,0,1,0,1,0,0,0,0/0,0,深圳,2018-11-02
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
邱彪,13,7,否,0-2,0-2,0-0,0,1,0,1,0,0,0,0,0,0/0,0,深圳,2018-11-02
卢艺文,55,9,否,0-1,0-1,0-0,1,0,0,1,0,0,1,0,1,0/0,0,深圳,2018-11-02
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-02
亚当斯,4,42,是,4-11,8-19,13-15,1,8,5,2,2,5,0,0,14,0/0,45,新疆,2018-11-02
阿不都沙拉木,23,34,是,8-14,0-2,0-0,6,5,1,4,0,0,0,0,1,0/0,16,新疆,2018-11-02
范子铭,17,13,是,4-6,0-0,0-0,2,1,0,1,0,1,1,0,1,0/0,8,新疆,2018-11-02
俞长栋,7,18,是,2-3,1-2,0-0,0,2,0,6,0,2,0,0,1,0/0,7,新疆,2018-11-02
可兰白克,13,30,是,0-1,2-7,0-0,0,2,0,3,1,0,1,0,0,0/0,6,新疆,2018-11-02
李根,1,16,否,4-8,0-2,3-3,0,3,2,1,0,1,0,0,1,0/0,11,新疆,2018-11-02
孙桐林,55,25,否,4-5,0-3,2-4,3,1,0,4,2,1,2,0,4,0/0,10,新疆,2018-11-02
艾尔-杰弗森,25,15,否,4-5,0-1,0-0,2,5,0,2,0,1,0,0,0,0/0,8,新疆,2018-11-02
周仪翔,27,8,否,1-3,0-1,0-0,0,1,0,1,0,0,0,0,0,0/0,2,新疆,2018-11-02
王子瑞,28,9,否,1-1,0-1,0-0,3,1,1,0,0,0,0,0,1,0/0,2,新疆,2018-11-02
姜文,10,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-02
曾令旭,6,24,否,0-2,0-2,0-2,0,3,3,1,2,0,0,0,2,0/0,0,新疆,2018-11-02
刘羽楠,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-02
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-02
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-02
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-02
