player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杰里米-帕戈,2,36:06,是,7-11,2-5,5-8,0,5,6,2,4,2,0,1,8,1/1,25,深圳,2017-02-19
孟铎,3,34:19,是,1-2,3-6,3-4,1,0,4,3,1,3,0,0,2,0/0,14,深圳,2017-02-19
代怀博,22,22:57,是,4-5,1-4,1-2,1,1,0,0,0,0,0,0,1,0/0,12,深圳,2017-02-19
顾全,12,27:08,是,4-8,0-1,3-4,1,3,2,1,0,5,0,0,2,2/2,11,深圳,2017-02-19
李慕豪,21,29:53,是,2-2,0-0,2-4,1,3,0,4,0,2,1,2,5,1/1,6,深圳,2017-02-19
马齐-兰佩,30,35:54,否,9-15,0-4,3-5,5,16,5,2,0,0,0,0,5,1/1,21,深圳,2017-02-19
何忠勉,20,18:20,否,3-5,0-3,0-0,1,2,0,2,3,1,0,0,2,1/1,6,深圳,2017-02-19
赵捷,24,16:43,否,1-3,0-2,0-0,0,2,0,2,1,0,0,1,0,0/0,2,深圳,2017-02-19
张凯,7,07:16,否,0-1,0-0,0-0,0,2,0,2,0,1,0,0,0,0/0,0,深圳,2017-02-19
于德豪,8,07:22,否,0-2,0-1,0-0,0,1,0,1,0,0,0,0,0,0/0,0,深圳,2017-02-19
罗汉琛,9,04:02,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-02-19
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,深圳,2017-02-19
布鲁克斯,2,44:55,是,9-17,1-6,5-9,4,7,5,3,2,5,0,1,9,1/1,26,江苏,2017-02-19
易立,8,40:38,是,4-7,3-9,3-3,1,4,2,4,0,1,0,1,4,2/2,20,江苏,2017-02-19
李原宇,16,25:27,是,4-7,0-0,1-2,1,5,0,4,2,2,0,0,1,0/0,9,江苏,2017-02-19
柳伟,15,29:58,是,2-4,0-0,0-0,0,6,2,1,1,0,0,0,0,0/0,4,江苏,2017-02-19
常亚松,5,09:48,是,0-1,0-2,0-0,0,2,1,2,0,1,0,0,0,0/0,0,江苏,2017-02-19
曹飞,23,19:46,否,4-8,1-2,1-2,0,2,0,4,0,1,0,0,0,0/0,12,江苏,2017-02-19
常林,45,22:51,否,0-4,2-3,3-4,4,6,1,1,0,1,0,0,2,0/0,9,江苏,2017-02-19
麦克唐纳,26,17:44,否,3-6,0-1,0-0,4,1,2,3,0,1,0,1,1,0/0,6,江苏,2017-02-19
胡雪峰,55,14:22,否,1-1,0-4,2-2,1,1,2,2,1,2,0,0,1,0/0,4,江苏,2017-02-19
陈磊,22,09:30,否,0-0,1-3,0-0,1,0,1,1,0,0,0,0,0,0/0,3,江苏,2017-02-19
侯逸凡,31,05:01,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,江苏,2017-02-19
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,江苏,2017-02-19
