player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
萨林杰,0,49,是,12-22,4-9,10-13,1,8,5,3,2,0,6,0,12,0/0,46,深圳,2017-12-10
顾全,12,42,是,11-16,4-10,3-5,1,2,1,1,0,0,0,0,4,0/0,37,深圳,2017-12-10
李慕豪,9,38,是,7-13,0-0,0-2,3,4,7,2,0,1,0,2,1,0/0,14,深圳,2017-12-10
何忠勉,20,32,是,1-2,1-1,2-2,2,7,4,3,3,2,2,0,1,0/0,7,深圳,2017-12-10
白昊天,10,16,是,3-5,0-1,0-0,0,2,2,4,0,0,0,0,1,0/0,6,深圳,2017-12-10
朗福德,5,27,否,5-10,1-1,4-4,1,2,1,1,0,0,1,0,4,0/0,17,深圳,2017-12-10
沈梓捷,28,10,否,2-2,0-0,1-2,0,2,0,2,1,2,1,0,1,0/0,5,深圳,2017-12-10
孟铎,3,9,否,0-0,1-2,0-0,0,1,0,0,0,0,0,0,0,0/0,3,深圳,2017-12-10
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
于德豪,19,29,否,0-1,0-1,0-0,2,3,3,5,0,1,0,0,1,0/0,0,深圳,2017-12-10
杨林祎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
卢艺文,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-10
张凯,7,6,否,0-1,0-0,0-0,0,2,0,1,0,0,0,0,0,0/0,0,深圳,2017-12-10
哈里斯,33,40,是,6-10,5-10,0-0,1,14,2,4,2,0,0,0,1,0/0,27,福建,2017-12-10
王哲林,31,50,是,10-16,1-1,3-5,3,13,6,5,0,1,1,4,5,0/0,26,福建,2017-12-10
陈林坚,15,31,是,0-2,5-8,2-2,0,1,1,4,1,0,0,0,3,0/0,17,福建,2017-12-10
赵泰隆,73,53,是,0-4,5-7,1-2,1,1,4,2,0,2,1,0,3,0/0,16,福建,2017-12-10
李江淮,5,23,是,2-5,0-1,0-0,1,0,4,1,1,2,0,0,0,0/0,4,福建,2017-12-10
史密斯,2,31,否,7-20,4-7,6-9,4,4,7,3,1,2,0,0,10,0/0,32,福建,2017-12-10
黄毅超,14,22,否,0-1,2-3,0-0,0,0,0,4,1,1,0,0,0,0/0,6,福建,2017-12-10
孙喆,17,11,否,1-4,0-0,0-0,2,2,0,2,0,0,1,0,0,0/0,2,福建,2017-12-10
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
田桂森,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
谢亚财,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
何重达,11,0,否,0-1,0-0,0-0,1,1,0,1,0,0,0,0,0,0/0,0,福建,2017-12-10
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-10
