player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德怀特-拜克斯,23,29,是,6-14,1-3,0-0,2,1,4,1,1,1,0,0,2,0/0,15,深圳,2018-12-11
李慕豪,9,22,是,4-7,1-3,2-7,3,8,1,4,0,2,1,1,7,0/0,13,深圳,2018-12-11
卢艺文,55,36,是,0-3,3-6,0-0,0,3,2,0,4,2,2,0,0,0/0,9,深圳,2018-12-11
贺希宁,3,22,是,3-7,0-1,0-0,1,0,1,1,3,0,0,0,0,0/0,6,深圳,2018-12-11
于德豪,19,17,是,2-5,0-2,1-2,0,2,2,3,0,2,0,0,2,0/0,5,深圳,2018-12-11
肯尼-伯顿,2,40,否,5-9,4-11,2-3,1,5,7,0,2,3,0,0,4,0/0,24,深圳,2018-12-11
沈梓捷,11,30,否,8-10,0-0,2-3,4,5,1,2,0,0,0,3,2,0/0,18,深圳,2018-12-11
郭晓鹏,1,22,否,2-3,1-2,0-0,0,1,3,2,1,1,0,0,1,0/0,7,深圳,2018-12-11
邱彪,13,11,否,1-1,0-0,0-0,0,0,2,1,0,1,0,0,0,0/0,2,深圳,2018-12-11
张凯,7,6,否,0-0,0-0,0-0,1,0,1,2,0,0,0,0,0,0/0,0,深圳,2018-12-11
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
杨林祎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
顾全,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-12-11
哈德森,14,35,是,12-13,7-12,2-2,2,4,3,2,4,1,0,0,3,0/0,47,辽宁,2018-12-11
韩德君,55,25,是,10-14,0-0,6-7,4,7,1,2,1,1,0,0,5,0/0,26,辽宁,2018-12-11
李晓旭,22,27,是,4-7,1-4,0-0,1,9,2,1,0,1,0,0,0,0/0,11,辽宁,2018-12-11
郭艾伦,13,32,是,1-2,2-5,0-0,1,2,6,3,0,3,0,0,1,0/0,8,辽宁,2018-12-11
高诗岩,0,30,是,0-2,1-2,0-0,1,3,4,3,3,3,0,0,1,0/0,3,辽宁,2018-12-11
巴斯,30,32,否,5-10,0-0,6-8,3,7,5,2,0,3,2,1,6,0/0,16,辽宁,2018-12-11
刘志轩,11,32,否,0-2,2-5,0-0,1,2,3,2,0,2,0,0,0,0/0,6,辽宁,2018-12-11
丛明晨,10,8,否,0-0,1-4,0-0,0,2,0,0,0,0,0,0,0,0/0,3,辽宁,2018-12-11
杨鸣,12,5,否,0-1,0-0,0-0,0,0,2,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
马壮,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
贺天举,6,5,否,0-2,0-0,0-0,1,0,1,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
钟诚,9,4,否,0-1,0-1,0-0,0,0,0,3,0,0,0,0,0,0/0,0,辽宁,2018-12-11
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-12-11
