player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
顾全,12,30:39,是,5-10,3-10,2-2,1,3,1,1,1,2,0,0,4,2/2,21,深圳,2017-01-18
孟铎,3,28:50,是,0-2,6-13,2-2,0,2,0,5,0,2,0,0,1,0/0,20,深圳,2017-01-18
杰里米-帕戈,2,38:55,是,4-14,1-5,2-2,0,6,12,3,3,3,0,0,2,2/2,13,深圳,2017-01-18
张凯,7,09:55,是,4-4,0-0,0-0,0,2,0,1,0,1,0,0,1,0/0,8,深圳,2017-01-18
李慕豪,21,23:53,是,3-4,0-0,0-2,2,5,0,4,0,1,0,0,1,0/0,6,深圳,2017-01-18
马齐-兰佩,30,30:35,否,11-15,1-5,1-1,7,10,1,4,1,0,0,0,4,0/0,26,深圳,2017-01-18
代怀博,22,28:28,否,4-5,1-6,1-2,3,5,1,0,0,1,0,0,3,0/0,12,深圳,2017-01-18
于德豪,8,06:35,否,1-3,0-1,0-0,0,0,0,3,1,1,0,0,0,0/0,2,深圳,2017-01-18
何忠勉,20,21:15,否,1-1,0-2,0-0,2,4,2,2,3,1,0,0,3,0/0,2,深圳,2017-01-18
赵捷,24,06:22,否,1-1,0-1,0-0,0,0,0,0,0,0,0,0,0,1/1,2,深圳,2017-01-18
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-01-18
琼斯,55,33:37,是,9-17,0-3,5-8,0,7,2,5,1,0,1,0,8,0/0,23,青岛,2017-01-18
张骋宇,6,33:16,是,4-11,2-6,1-2,0,3,3,4,0,3,0,0,1,0/0,15,青岛,2017-01-18
刁成灏,27,28:24,是,2-3,2-5,0-0,1,5,0,2,3,1,0,0,1,0/0,10,青岛,2017-01-18
宗赞,13,30:16,是,3-12,0-2,0-0,2,5,0,2,1,2,1,0,2,0/0,6,青岛,2017-01-18
田嘉夫,14,14:35,是,1-3,1-4,0-0,1,3,0,3,1,0,0,0,0,0/0,5,青岛,2017-01-18
卢卡斯,1,34:08,否,8-12,2-2,12-14,4,7,2,4,3,1,0,0,9,0/0,34,青岛,2017-01-18
丁皓然,35,02:58,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,青岛,2017-01-18
王庆明,32,02:07,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,青岛,2017-01-18
刘书楠,7,11:44,否,0-1,0-0,0-0,0,0,0,1,0,2,0,0,0,0/0,0,青岛,2017-01-18
孙杰,17,20:31,否,0-0,0-4,0-0,0,1,0,1,0,2,0,0,0,0/0,0,青岛,2017-01-18
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,青岛,2017-01-18
