player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
尼克尔森,44,35,是,5-10,3-9,2-2,2,9,3,2,2,2,1,2,3,0/0,21,福建,2018-12-23
陈林坚,15,41,是,4-7,4-7,0-0,0,0,3,2,4,1,0,0,1,0/0,20,福建,2018-12-23
王哲林,31,38,是,4-14,1-2,3-6,5,12,3,4,0,2,1,0,6,0/0,14,福建,2018-12-23
黄毅超,14,30,是,3-6,2-6,0-0,2,1,2,2,2,0,0,0,0,0/0,12,福建,2018-12-23
田桂森,0,22,是,1-2,1-4,0-0,0,0,4,1,1,3,0,0,1,0/0,5,福建,2018-12-23
泽维尔-孟福德,1,36,否,9-16,1-3,7-8,3,7,5,2,0,0,1,1,6,0/0,28,福建,2018-12-23
孙椿棚,13,10,否,1-3,0-0,0-0,3,5,0,1,0,0,0,0,1,0/0,2,福建,2018-12-23
孙喆,17,8,否,1-2,0-0,0-0,2,1,0,2,1,1,2,0,2,0/0,2,福建,2018-12-23
胡珑贸,10,8,否,1-1,0-0,0-2,0,0,0,4,0,1,0,0,1,0/0,2,福建,2018-12-23
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
刘洺宇,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
李江淮,5,6,否,0-2,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,福建,2018-12-23
谢亚财,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
赵泰隆,73,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-23
弗雷戴特,32,43,是,12-21,5-15,14-14,2,7,2,1,3,6,1,0,8,0/0,53,上海,2018-12-23
罗汉琛,33,29,是,4-10,0-1,2-2,2,2,3,3,2,1,0,0,1,0/0,10,上海,2018-12-23
蔡亮,1,30,是,4-7,0-1,0-0,0,5,2,4,1,0,0,0,1,0/0,8,上海,2018-12-23
张兆旭,23,37,是,3-6,0-0,0-0,3,5,0,4,0,0,3,2,2,0/0,6,上海,2018-12-23
唐子豪,7,5,是,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
路易斯-斯科拉,4,28,否,6-14,1-3,2-6,3,11,1,3,0,4,1,0,7,0/0,17,上海,2018-12-23
黄旭,3,9,否,0-0,0-1,1-2,0,1,0,1,0,0,0,0,1,0/0,1,上海,2018-12-23
卢伟,12,16,否,0-1,0-3,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
罗旭东,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
孟令源,5,22,否,0-1,0-1,0-0,0,1,0,2,0,1,0,0,1,0/0,0,上海,2018-12-23
罗智,27,3,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,上海,2018-12-23
刘炜,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
朱瀛,19,12,否,0-0,0-0,0-0,0,1,0,3,0,0,0,0,0,0/0,0,上海,2018-12-23
董瀚麟,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-23
