player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
王哲林,31,38,是,14-19,1-1,5-9,5,6,5,4,1,3,0,4,5,0/0,36,福建,2018-02-11
赵泰隆,73,39,是,4-5,6-11,4-4,1,2,4,0,1,2,0,0,4,0/0,30,福建,2018-02-11
哈里斯,33,19,是,7-7,2-5,1-1,2,5,1,1,1,2,0,1,1,0/0,21,福建,2018-02-11
陈林坚,15,43,是,3-6,3-8,0-0,0,2,0,1,0,1,1,0,0,0/0,15,福建,2018-02-11
田桂森,0,21,是,1-2,0-0,2-2,0,3,3,2,1,1,0,1,2,0/0,4,福建,2018-02-11
史密斯,2,25,否,4-8,2-4,3-3,1,4,9,0,0,1,0,0,3,0/0,17,福建,2018-02-11
蔡晨,7,11,否,3-4,0-0,0-0,0,1,0,1,0,1,0,1,0,0/0,6,福建,2018-02-11
孙喆,17,9,否,1-4,0-0,2-2,3,6,0,1,0,0,1,0,1,0/0,4,福建,2018-02-11
何重达,11,16,否,1-2,0-0,0-0,0,3,2,1,1,0,0,0,1,0/0,2,福建,2018-02-11
李江淮,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
谢亚财,30,2,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,福建,2018-02-11
杨凯,9,6,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,1,0/0,0,福建,2018-02-11
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
黄毅超,14,4,否,0-0,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-02-11
刘航初,9,32,是,6-9,2-5,4-6,1,2,5,3,0,0,1,0,5,0/0,22,八一,2018-02-11
田宇翔,7,48,是,7-11,2-2,1-1,2,5,11,4,1,2,0,0,1,0/0,21,八一,2018-02-11
曹岩,8,41,是,2-3,4-9,0-0,2,2,0,1,2,2,0,0,0,0/0,16,八一,2018-02-11
付豪,1,25,是,4-13,0-0,4-4,0,0,4,3,0,1,0,0,3,0/0,12,八一,2018-02-11
张祖铭,20,31,是,2-3,2-6,1-1,0,2,0,1,2,0,0,1,2,0/0,11,八一,2018-02-11
德勒黑,22,30,否,2-4,6-10,0-0,0,6,1,4,0,1,0,0,0,0/0,22,八一,2018-02-11
李天戈,6,9,否,2-2,0-1,0-0,1,1,1,0,0,2,0,0,0,0/0,4,八一,2018-02-11
宁鸿宇,16,19,否,1-3,0-0,2-2,0,1,0,1,0,0,0,0,1,0/0,4,八一,2018-02-11
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
罗凯文,13,2,否,0-1,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,八一,2018-02-11
雷蒙,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
阿尔斯兰,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-11
