player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
陈林坚,15,36,是,8-15,1-2,0-0,1,5,0,4,2,0,0,0,0,0/0,19,福建,2018-12-16
王哲林,31,42,是,7-19,0-0,4-6,7,11,2,1,0,2,1,1,5,0/0,18,福建,2018-12-16
尼克尔森,44,31,是,1-6,1-4,1-5,2,6,1,0,1,1,0,0,6,0/0,6,福建,2018-12-16
黄毅超,14,11,是,1-4,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,2,福建,2018-12-16
谢亚财,19,7,是,1-1,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,2,福建,2018-12-16
普-杰特,4,40,否,2-7,1-6,5-6,0,2,5,4,3,3,0,0,7,0/0,12,福建,2018-12-16
田桂森,0,19,否,2-3,2-2,0-0,0,2,1,1,1,0,0,1,1,0/0,10,福建,2018-12-16
胡珑贸,10,28,否,2-4,1-3,0-0,1,4,1,1,1,1,0,0,0,0/0,7,福建,2018-12-16
孙椿棚,13,16,否,2-3,0-0,1-2,4,1,1,3,0,1,0,0,1,0/0,5,福建,2018-12-16
孙喆,17,5,否,1-3,0-0,0-0,3,1,0,0,0,0,1,0,0,0/0,2,福建,2018-12-16
李江淮,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
赵泰隆,73,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
刘洺宇,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-12-16
汉密尔顿,41,35,是,7-13,0-3,2-2,3,7,2,2,1,2,3,3,4,0/0,16,北京,2018-12-16
翟晓川,20,36,是,4-5,1-4,3-5,1,5,6,3,1,1,0,0,6,0/0,14,北京,2018-12-16
段江鹏,11,14,是,0-1,0-0,2-2,0,0,0,0,0,0,0,0,1,0/0,2,北京,2018-12-16
刘晓宇,10,20,是,0-1,0-2,1-2,0,1,2,3,0,1,0,0,2,0/0,1,北京,2018-12-16
张卓,22,6,是,0-0,0-0,0-0,0,3,0,2,0,0,1,0,0,0/0,0,北京,2018-12-16
朱彦西,13,35,否,1-1,5-11,0-0,1,2,1,3,0,1,1,0,0,0/0,17,北京,2018-12-16
艾伦-杰克逊,7,34,否,4-10,2-5,0-0,0,3,9,1,0,4,0,0,3,0/0,14,北京,2018-12-16
方硕,8,11,否,1-2,1-3,0-0,0,2,1,1,1,1,0,0,2,0/0,5,北京,2018-12-16
王骁辉,33,19,否,0-1,1-4,0-0,0,1,0,3,2,1,0,0,0,0/0,3,北京,2018-12-16
丘天,19,6,否,1-1,0-0,0-0,0,2,0,2,0,1,0,1,0,0/0,2,北京,2018-12-16
张才仁,16,14,否,1-1,0-1,0-0,0,2,0,0,1,0,0,0,0,0/0,2,北京,2018-12-16
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
常林,23,4,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-16
