player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德怀特-拜克斯,38,45:52,是,9-14,7-13,2-2,0,6,7,1,1,4,0,0,4,0/0,41,福建,2017-02-19
王哲林,31,40:16,是,8-16,0-2,9-14,7,9,5,1,2,1,1,2,11,2/2,25,福建,2017-02-19
黄毅超,14,44:14,是,1-1,5-14,1-2,2,1,3,2,2,2,0,0,1,1/1,18,福建,2017-02-19
李江淮,5,24:52,是,6-9,0-1,0-0,3,4,1,5,0,0,0,0,1,3/3,12,福建,2017-02-19
孙椿棚,13,21:56,是,2-4,0-0,0-0,3,3,1,0,1,0,2,0,1,0/0,4,福建,2017-02-19
陈林坚,15,36:33,否,1-2,6-14,0-0,0,2,2,2,2,2,0,0,0,0/0,20,福建,2017-02-19
胡珑贸,10,16:39,否,0-0,0-2,4-4,0,0,2,5,2,1,1,0,3,0/0,4,福建,2017-02-19
孙喆,41,07:44,否,0-0,0-0,0-0,1,0,0,0,0,0,1,0,0,0/0,0,福建,2017-02-19
赵泰隆,9,01:54,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,福建,2017-02-19
麦克鲁姆,4,38:37,是,6-15,9-11,8-9,1,1,3,2,3,1,0,0,8,0/0,47,北控,2017-02-19
巴蒂斯塔,15,33:23,是,11-17,0-0,2-3,5,10,1,1,2,3,2,1,1,0/0,24,北控,2017-02-19
杨敬敏,6,46:00,是,1-2,5-11,5-7,1,6,10,4,1,4,0,0,5,0/0,22,北控,2017-02-19
于梁,11,32:27,是,4-6,2-4,0-0,0,4,1,1,0,2,0,1,0,0/0,14,北控,2017-02-19
贺希宁,3,13:32,是,1-6,0-1,0-0,1,1,0,1,0,1,0,0,0,0/0,2,北控,2017-02-19
王振宇,27,23:47,否,1-6,1-3,0-0,3,5,0,5,0,0,0,0,1,0/0,5,北控,2017-02-19
何重达,9,09:56,否,1-1,0-0,0-0,1,3,1,2,0,1,0,0,1,0/0,2,北控,2017-02-19
滕贺麒,8,34:28,否,1-2,0-5,0-0,1,0,0,3,0,1,0,0,1,1/1,2,北控,2017-02-19
孙伟博,10,05:52,否,0-0,0-2,0-0,1,0,1,2,2,1,0,0,0,0/0,0,北控,2017-02-19
夏宇彤,13,01:58,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北控,2017-02-19
