player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德怀特-拜克斯,38,43:48,是,7-12,5-11,1-1,1,6,13,2,3,6,0,1,3,4/4,30,福建,2017-01-13
王哲林,31,42:03,是,10-16,0-2,3-9,3,5,3,6,3,0,0,3,8,1/1,23,福建,2017-01-13
赵泰隆,9,43:48,是,3-4,5-9,1-1,0,2,1,3,1,2,1,1,2,0/0,22,福建,2017-01-13
陈林坚,15,31:15,是,0-3,2-8,0-0,0,2,2,2,0,2,0,0,0,0/0,6,福建,2017-01-13
郭磊,11,21:05,是,0-1,0-1,2-2,0,4,0,3,0,1,0,0,3,0/0,2,福建,2017-01-13
J.J-希克森,21,28:12,否,7-12,0-0,0-0,6,9,1,2,2,5,0,3,3,0/0,14,福建,2017-01-13
黄毅超,14,20:27,否,2-3,2-5,1-2,0,1,3,2,1,1,0,0,2,2/2,11,福建,2017-01-13
孙喆,41,02:25,否,0-0,0-0,2-2,0,0,0,0,0,0,0,0,1,0/0,2,福建,2017-01-13
陈世杰,8,04:12,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,福建,2017-01-13
胡珑贸,10,02:45,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,福建,2017-01-13
M.I.托马斯,9,33:31,是,11-16,1-4,6-7,2,6,4,2,2,1,1,4,5,1/1,31,吉林,2017-01-13
张彪,14,26:41,是,6-9,0-0,3-4,1,0,0,6,1,1,0,0,3,0/0,15,吉林,2017-01-13
崔晋铭,5,25:03,是,1-2,1-3,2-2,0,2,3,1,1,0,0,0,3,0/0,7,吉林,2017-01-13
柴长易,6,06:00,是,0-1,0-2,0-0,0,1,0,0,0,0,0,0,0,0/0,0,吉林,2017-01-13
金明,2,07:30,是,0-0,0-0,0-0,0,1,0,1,0,2,0,0,1,0/0,0,吉林,2017-01-13
J.A.布朗,55,38:29,否,10-20,2-4,6-8,1,4,4,2,1,5,0,1,6,3/3,32,吉林,2017-01-13
钟诚,12,21:27,否,1-3,2-2,0-0,1,3,2,3,2,1,0,0,0,0/0,8,吉林,2017-01-13
李安,4,25:07,否,2-3,0-1,2-2,2,2,1,4,1,1,2,0,1,0/0,6,吉林,2017-01-13
蔡李龙,20,32:00,否,1-2,1-4,0-0,0,0,2,2,1,2,0,0,0,1/1,5,吉林,2017-01-13
卡姆拉尼,7,10:05,否,1-2,0-1,0-0,0,5,1,1,0,2,0,0,0,1/1,2,吉林,2017-01-13
刘天意,1,14:07,否,0-0,0-2,0-0,1,0,1,0,0,0,0,0,1,0/0,0,吉林,2017-01-13
