player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
陈林坚,15,38,是,1-9,4-9,3-3,2,5,0,0,0,0,0,0,1,0/0,17,福建,2017-12-17
哈里斯,33,29,是,4-6,1-5,0-0,1,8,1,3,4,0,0,0,2,0/0,11,福建,2017-12-17
孙喆,17,42,是,4-5,0-0,1-2,3,5,0,6,1,0,1,1,2,0/0,9,福建,2017-12-17
李江淮,5,11,是,1-2,0-0,0-0,0,0,1,1,0,0,0,0,2,0/0,2,福建,2017-12-17
黄毅超,14,5,是,0-0,0-1,0-0,1,0,1,0,0,0,0,0,0,0/0,0,福建,2017-12-17
史密斯,2,39,否,9-17,3-10,20-21,1,8,3,5,2,1,0,1,11,0/0,47,福建,2017-12-17
赵泰隆,73,30,否,2-5,1-7,2-2,0,5,3,0,1,3,0,0,2,0/0,9,福建,2017-12-17
杨凯,9,24,否,1-2,2-3,0-0,3,1,0,2,0,0,0,0,0,0/0,8,福建,2017-12-17
田桂森,0,8,否,0-0,0-0,2-2,0,0,0,2,0,0,0,0,1,0/0,2,福建,2017-12-17
蔡晨,7,4,否,0-2,0-0,0-0,0,1,0,1,0,1,0,0,1,0/0,0,福建,2017-12-17
谢亚财,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
孙椿棚,13,1,否,0-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
王哲林,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
何重达,11,3,否,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,福建,2017-12-17
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-12-17
哈达迪,15,43,是,12-15,0-2,5-10,4,18,6,4,0,5,2,3,8,0/0,29,四川,2017-12-17
左朕年,13,37,是,6-8,1-3,0-0,2,2,0,4,1,0,0,0,1,0/0,15,四川,2017-12-17
孟达,12,35,是,3-9,3-7,0-0,1,2,2,1,0,2,0,0,0,0/0,15,四川,2017-12-17
王政博,16,18,是,0-0,1-3,0-0,0,0,0,3,0,0,0,0,0,0/0,3,四川,2017-12-17
吴楠,10,21,是,1-2,0-1,0-0,0,2,0,3,0,0,0,0,1,0/0,2,四川,2017-12-17
富兰克林,11,28,否,9-12,0-6,4-5,1,9,9,0,1,2,1,0,9,0/0,22,四川,2017-12-17
黄荣奇,7,39,否,5-10,1-4,2-2,0,4,1,6,1,0,2,0,1,0/0,15,四川,2017-12-17
陈晓东,30,15,否,1-4,0-0,0-0,2,3,0,1,1,1,0,0,1,0/0,2,四川,2017-12-17
侯天一,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
陈辰,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
刘炜,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
杨越,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-17
