player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
王哲林,31,37:56,是,14-24,0-0,6-6,7,8,3,3,2,3,3,3,7,2/2,34,福建,2016-12-14
胡珑贸,10,15:02,是,0-1,2-3,5-6,0,6,2,6,1,1,0,0,3,0/0,11,福建,2016-12-14
德怀特-拜克斯,38,31:58,是,1-7,1-5,5-6,3,3,2,0,0,2,0,0,6,0/0,10,福建,2016-12-14
黄毅超,14,34:11,是,0-4,3-14,0-0,3,0,1,3,3,2,1,0,2,0/0,9,福建,2016-12-14
郭磊,11,05:01,是,1-1,0-1,0-0,0,1,0,0,0,1,0,0,0,0/0,2,福建,2016-12-14
周启新,1,18:01,否,3-5,1-3,0-0,2,0,5,1,0,1,0,0,0,0/0,9,福建,2016-12-14
孙椿棚,13,16:26,否,3-6,0-0,1-2,3,0,1,2,0,2,0,0,1,0/0,7,福建,2016-12-14
李江淮,5,25:54,否,2-3,0-1,2-2,3,1,5,3,1,1,0,0,2,0/0,6,福建,2016-12-14
王增杰,23,15:56,否,1-5,1-3,1-2,2,2,2,1,0,0,0,0,2,0/0,6,福建,2016-12-14
赵泰隆,9,23:28,否,0-0,1-2,0-0,2,2,1,2,1,3,0,0,0,0/0,3,福建,2016-12-14
陈世杰,8,08:52,否,0-0,1-1,0-0,2,0,1,1,1,0,0,0,1,0/0,3,福建,2016-12-14
孙喆,41,07:15,否,0-2,0-0,2-2,1,1,0,1,1,0,1,0,1,0/0,2,福建,2016-12-14
普-杰特,3,43:48,是,7-15,4-9,4-6,1,6,7,4,1,1,0,0,7,0/0,30,天津,2016-12-14
时德帅,23,36:53,是,3-3,5-6,0-0,1,0,1,5,0,1,1,0,0,0/0,21,天津,2016-12-14
萨尼-萨卡基尼,7,34:01,是,6-14,0-0,3-7,7,5,3,1,0,4,1,0,7,1/1,15,天津,2016-12-14
李荣培,15,37:31,是,1-5,1-1,4-6,1,4,6,5,3,1,0,0,4,1/1,9,天津,2016-12-14
张智涵,9,25:20,是,1-2,0-1,1-2,0,1,1,4,0,1,0,0,1,0/0,3,天津,2016-12-14
杰里米-泰勒,8,21:14,否,12-17,0-0,3-3,6,6,0,4,1,0,0,1,4,0/0,27,天津,2016-12-14
张楠,11,22:40,否,2-4,1-2,0-0,0,2,0,0,1,3,0,0,0,0/0,7,天津,2016-12-14
田野,4,04:12,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,天津,2016-12-14
孟祥龙,14,10:29,否,0-1,0-2,0-0,0,0,1,2,1,0,0,0,0,0/0,0,天津,2016-12-14
张骥,13,03:52,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2016-12-14
