player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德怀特-拜克斯,38,45:06,是,9-12,2-10,10-10,0,8,7,1,2,3,0,0,11,0/0,34,福建,2017-01-22
赵泰隆,9,35:39,是,2-4,4-8,7-8,0,2,1,2,1,1,0,0,4,0/0,23,福建,2017-01-22
黄毅超,14,38:18,是,0-0,5-10,1-1,1,1,2,3,0,0,0,0,1,0/0,16,福建,2017-01-22
郭磊,11,24:23,是,1-3,2-5,0-0,2,5,1,2,1,1,1,0,2,0/0,8,福建,2017-01-22
孙喆,41,12:22,是,1-2,0-0,0-0,1,1,2,4,0,1,0,0,1,0/0,2,福建,2017-01-22
J.J-希克森,21,26:20,否,7-16,0-1,4-4,2,8,1,3,0,3,0,1,4,0/0,18,福建,2017-01-22
陈林坚,15,22:54,否,0-1,3-7,0-0,0,2,0,4,0,0,0,0,0,0/0,9,福建,2017-01-22
孙椿棚,13,22:15,否,1-1,0-0,2-2,1,1,1,3,0,0,0,0,2,0/0,4,福建,2017-01-22
胡珑贸,10,09:43,否,0-1,0-0,1-2,0,0,1,4,0,1,0,0,2,0/0,1,福建,2017-01-22
李江淮,5,03:00,否,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,0/0,0,福建,2017-01-22
富兰克林,11,37:31,是,2-8,3-10,5-9,3,11,4,3,2,5,0,1,9,0/0,18,山西,2017-01-22
任骏威,21,37:43,是,5-8,2-3,0-0,1,8,2,4,0,0,1,0,0,0/0,16,山西,2017-01-22
原帅,7,33:13,是,2-4,3-7,0-0,2,3,0,3,1,0,0,0,1,0/0,13,山西,2017-01-22
闫鹏飞,9,21:42,是,3-8,0-0,0-0,3,1,2,2,1,0,0,0,1,0/0,6,山西,2017-01-22
田桂森,3,17:20,是,2-2,0-2,1-4,0,1,2,3,1,1,0,0,2,0/0,5,山西,2017-01-22
亨利-西姆斯,36,34:29,否,13-25,1-2,10-16,8,7,1,5,1,0,0,1,10,0/0,39,山西,2017-01-22
曾令旭,6,28:58,否,5-8,0-2,1-1,1,3,5,2,0,2,0,0,1,3/3,11,山西,2017-01-22
罗智,10,15:25,否,0-0,1-2,0-0,1,0,0,2,1,0,0,0,0,0/0,3,山西,2017-01-22
张学文,33,13:39,否,0-0,0-1,0-2,0,0,0,3,0,0,0,0,2,0/0,0,山西,2017-01-22
