player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,21,38:39,是,10-17,0-0,4-5,3,8,1,3,3,8,1,2,6,2/2,24,福建,2016-11-13
周启新,1,36:50,是,1-3,2-3,7-13,1,5,2,0,5,1,0,0,8,0/0,15,福建,2016-11-13
王哲林,31,33:47,是,5-12,0-1,1-2,2,6,0,1,0,4,0,0,3,0/0,11,福建,2016-11-13
陈世杰,8,13:18,是,2-3,0-0,0-0,0,0,2,2,0,3,0,0,0,0/0,4,福建,2016-11-13
赵泰隆,9,21:46,是,1-2,0-0,0-0,0,1,1,5,1,1,0,0,0,0/0,2,福建,2016-11-13
黄毅超,14,21:11,否,3-4,0-1,2-2,0,2,0,5,1,1,0,0,2,1/1,8,福建,2016-11-13
谢亚财,30,21:45,否,2-4,0-1,2-3,0,2,4,6,1,1,0,0,4,0/0,6,福建,2016-11-13
陈林坚,15,16:13,否,2-3,0-2,1-4,1,2,0,1,0,1,1,0,3,0/0,5,福建,2016-11-13
郭磊,11,12:30,否,1-1,0-2,3-3,0,1,0,0,0,0,1,0,2,0/0,5,福建,2016-11-13
王增杰,23,05:32,否,2-3,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,4,福建,2016-11-13
孙椿棚,13,05:32,否,0-0,0-0,3-4,1,0,0,0,0,1,0,0,2,0/0,3,福建,2016-11-13
李江淮,5,12:57,否,0-1,0-1,0-0,0,0,0,0,0,1,0,0,1,0/0,0,福建,2016-11-13
周鹏,11,34:42,是,7-11,1-4,5-5,0,2,2,1,0,1,0,1,5,1/1,22,广东,2016-11-13
唐纳德-斯隆,23,35:03,是,3-7,3-6,6-6,0,2,8,4,2,1,0,0,7,0/0,21,广东,2016-11-13
易建联,9,32:25,是,5-9,1-3,2-2,1,5,2,2,3,3,1,1,2,0/0,15,广东,2016-11-13
任骏飞,20,22:55,是,2-4,0-2,0-0,2,1,2,4,0,1,0,0,0,0/0,4,广东,2016-11-13
杨金蒙,17,17:50,是,0-1,1-1,0-0,1,1,1,2,1,1,0,0,0,0/0,3,广东,2016-11-13
布泽尔,5,30:54,否,11-21,0-0,1-1,4,12,2,5,3,2,0,0,3,1/1,23,广东,2016-11-13
赵睿,0,26:35,否,2-3,1-2,2-3,1,3,5,5,2,4,0,0,4,1/1,9,广东,2016-11-13
周湛东,13,14:20,否,0-1,1-2,0-0,0,0,1,4,1,2,0,0,0,0/0,3,广东,2016-11-13
邵英伦,12,05:23,否,1-1,0-0,0-0,0,1,0,1,0,0,0,0,1,0/0,2,广东,2016-11-13
高尚,3,09:19,否,1-3,0-1,0-0,0,0,1,0,1,0,0,0,2,0/0,2,广东,2016-11-13
曾繁日,34,10:34,否,0-1,0-0,0-0,1,2,0,4,1,1,0,0,0,0/0,0,广东,2016-11-13
