player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
德怀特-拜克斯,38,40:20,是,8-12,3-10,0-2,1,2,6,1,2,2,0,0,5,1/1,25,福建,2016-10-30
王哲林,31,37:10,是,7-20,1-2,1-3,2,7,0,2,0,1,0,1,2,0/0,18,福建,2016-10-30
赵泰隆,9,31:15,是,2-2,1-4,0-0,0,0,2,2,2,1,0,0,2,1/1,7,福建,2016-10-30
周启新,1,31:05,是,0-3,1-2,0-0,2,2,2,3,4,2,0,0,2,0/0,3,福建,2016-10-30
郭磊,11,13:41,是,1-3,0-1,0-0,1,4,0,0,0,1,0,0,0,0/0,2,福建,2016-10-30
J.J-希克森,21,31:40,否,9-14,0-0,5-8,2,3,1,4,0,4,1,0,6,0/0,23,福建,2016-10-30
黄毅超,14,20:33,否,1-2,1-4,0-0,2,1,0,0,0,0,0,0,0,0/0,5,福建,2016-10-30
陈林坚,15,13:07,否,0-0,1-3,0-0,0,1,1,0,1,0,1,0,0,0/0,3,福建,2016-10-30
孙喆,41,13:29,否,1-1,0-0,0-0,2,2,0,4,0,1,0,0,0,0/0,2,福建,2016-10-30
陈世杰,8,05:05,否,0-2,0-1,0-0,1,0,0,2,0,1,0,0,1,0/0,0,福建,2016-10-30
李江淮,5,02:35,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2016-10-30
福特森,4,36:56,是,7-14,1-7,9-10,2,3,7,1,2,2,0,0,9,0/0,26,广厦,2016-10-30
李京龙,9,35:22,是,2-2,4-7,0-0,0,1,0,2,2,3,0,0,0,1/1,16,广厦,2016-10-30
王征,13,16:34,是,6-7,0-0,3-3,2,4,0,2,0,1,1,0,4,0/0,15,广厦,2016-10-30
赵岩昊,25,35:55,是,3-4,1-4,0-0,0,4,1,0,1,2,0,0,1,0/0,9,广厦,2016-10-30
胡金秋,21,26:28,是,3-8,0-0,0-0,4,4,0,2,1,0,2,1,0,0/0,6,广厦,2016-10-30
霍尔曼,32,31:56,否,9-12,0-0,3-4,2,10,0,4,1,3,1,3,3,0/0,21,广厦,2016-10-30
刘铮,11,24:43,否,2-3,1-2,0-0,0,5,6,2,2,1,0,0,0,0/0,7,广厦,2016-10-30
孙铭徽,17,12:36,否,1-1,0-0,0-0,1,0,1,2,3,3,0,0,0,0/0,2,广厦,2016-10-30
苏若禹,5,19:30,否,0-2,0-0,0-0,0,2,0,3,0,1,0,0,1,0/0,0,广厦,2016-10-30
