player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,21,37:46,是,13-22,0-0,8-8,5,12,3,1,1,5,0,1,5,1/1,34,福建,2016-12-02
王哲林,31,45:34,是,8-16,0-0,4-4,6,9,1,2,1,1,3,1,5,0/0,20,福建,2016-12-02
周启新,1,25:47,是,2-4,0-3,0-0,2,1,3,2,2,1,1,0,0,0/0,4,福建,2016-12-02
李江淮,5,23:01,是,1-2,0-0,0-0,3,0,4,2,0,3,0,0,0,0/0,2,福建,2016-12-02
赵泰隆,9,13:51,是,0-0,0-3,0-0,0,0,0,1,0,2,0,0,0,0/0,0,福建,2016-12-02
德怀特-拜克斯,38,33:20,否,4-10,1-7,7-11,0,4,2,2,1,4,0,0,7,2/2,18,福建,2016-12-02
胡珑贸,10,33:03,否,3-6,2-3,0-0,1,4,2,6,2,1,1,0,4,1/1,12,福建,2016-12-02
黄毅超,14,15:52,否,1-1,3-4,0-0,0,3,2,6,0,0,1,0,1,1/1,11,福建,2016-12-02
郭磊,11,09:20,否,1-1,0-1,0-0,0,2,1,0,0,0,0,0,0,0/0,2,福建,2016-12-02
孙喆,41,02:26,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2016-12-02
李根,1,32:40,是,8-12,3-5,4-6,2,3,2,3,0,2,0,0,4,1/1,29,新疆,2016-12-02
本杰明-本特尔,50,25:50,是,4-14,1-7,2-2,4,3,2,2,2,0,0,2,2,1/1,13,新疆,2016-12-02
周琦,9,39:38,是,5-12,0-0,2-4,5,5,2,5,2,0,4,4,8,1/1,12,新疆,2016-12-02
西热力江,20,41:20,是,0-0,3-5,0-0,0,3,4,4,1,2,0,0,0,0/0,9,新疆,2016-12-02
王子瑞,30,20:31,是,1-4,1-1,2-2,1,0,5,0,3,1,0,0,1,1/1,7,新疆,2016-12-02
亚当斯,4,39:04,否,10-16,5-10,3-4,0,5,7,2,5,6,0,0,7,3/3,38,新疆,2016-12-02
孙桐林,55,18:47,否,2-3,0-0,0-0,1,3,1,4,0,0,1,0,0,0/0,4,新疆,2016-12-02
阿不都沙拉木,14,10:25,否,1-2,0-2,0-0,1,0,0,0,1,1,0,0,0,0/0,2,新疆,2016-12-02
俞长栋,7,11:45,否,0-1,0-2,0-0,0,0,1,2,0,1,0,0,0,0/0,0,新疆,2016-12-02
