player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
王哲林,31,36,是,11-18,0-1,10-12,5,7,6,5,0,2,1,4,8,0/0,32,福建,2018-11-03
尼克尔森,44,38,是,6-13,2-7,2-2,3,11,2,2,1,2,1,1,4,0/0,20,福建,2018-11-03
陈林坚,15,40,是,0-6,3-9,0-0,0,1,2,4,1,1,0,0,2,0/0,9,福建,2018-11-03
黄毅超,14,27,是,4-6,0-5,0-0,3,0,1,6,1,0,0,0,0,0/0,8,福建,2018-11-03
谢亚财,19,5,是,0-0,0-0,0-0,0,0,0,2,0,0,0,0,1,0/0,0,福建,2018-11-03
普-杰特,4,33,否,4-6,4-9,7-8,1,3,5,1,0,0,0,0,5,0/0,27,福建,2018-11-03
田桂森,0,22,否,0-0,2-3,2-2,1,3,1,2,0,0,0,0,1,0/0,8,福建,2018-11-03
孙喆,17,15,否,1-2,0-0,4-5,0,0,2,1,1,0,2,0,3,0/0,6,福建,2018-11-03
胡珑贸,10,15,否,1-2,0-1,2-2,0,2,0,3,0,0,0,0,2,0/0,4,福建,2018-11-03
范宇轩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
李江淮,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
田嘉夫,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
赵泰隆,73,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
何重达,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
卡米然斯地克江,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-11-03
刘洺宇,6,3,否,0-0,0-0,0-0,0,0,0,3,0,0,0,0,1,0/0,0,福建,2018-11-03
邓蒙,12,37,是,10-17,3-7,5-5,0,5,4,2,0,3,0,0,8,0/0,34,浙江,2018-11-03
吴前,33,39,是,8-12,2-9,7-7,0,5,3,3,0,0,0,0,5,0/0,29,浙江,2018-11-03
张大宇,24,19,是,2-2,0-0,2-2,0,5,2,2,1,1,0,0,1,0/0,6,浙江,2018-11-03
朱旭航,21,9,是,0-0,1-4,1-2,0,4,0,3,0,0,0,0,3,0/0,4,浙江,2018-11-03
程帅澎,6,12,是,0-0,0-0,0-0,1,0,1,1,0,0,0,0,2,0/0,0,浙江,2018-11-03
汉斯布鲁,50,34,否,11-19,0-0,4-5,5,2,0,5,2,0,1,1,6,0/0,26,浙江,2018-11-03
赖俊豪,17,31,否,4-4,1-4,1-1,3,7,0,4,1,1,2,1,2,0/0,12,浙江,2018-11-03
林孝天,5,24,否,1-1,1-2,2-2,0,3,0,4,0,0,0,0,2,0/0,7,浙江,2018-11-03
江凯,93,30,否,2-3,0-1,0-0,0,2,1,3,0,1,0,0,0,0/0,4,浙江,2018-11-03
陆文博,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
李宗翰,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
李耀强,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
付磊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
刘泽一,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
孙岩松,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
王仔路,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
张正昕,28,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
王奕博,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2018-11-03
