player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
J.J-希克森,21,45:01,是,10-25,1-4,14-17,7,11,1,0,3,2,0,0,12,2/2,37,福建,2016-11-16
周启新,1,39:44,是,2-5,2-5,1-2,0,9,8,6,2,2,0,0,5,0/0,11,福建,2016-11-16
王哲林,31,40:24,是,3-15,0-1,5-8,2,8,0,3,0,4,0,1,5,0/0,11,福建,2016-11-16
陈世杰,8,22:44,是,2-3,1-2,0-0,0,2,6,0,0,1,0,0,0,1/1,7,福建,2016-11-16
赵泰隆,9,24:55,是,1-6,0-2,0-0,0,1,1,2,0,1,0,0,0,0/0,2,福建,2016-11-16
陈林坚,15,26:23,否,1-2,2-7,1-1,0,2,1,1,2,2,0,0,1,0/0,9,福建,2016-11-16
郭磊,11,03:03,否,1-2,0-0,1-1,0,0,0,0,0,0,0,0,1,0/0,3,福建,2016-11-16
谢亚财,30,17:12,否,1-2,0-0,1-2,2,0,1,4,2,3,0,0,2,0/0,3,福建,2016-11-16
黄毅超,14,04:58,否,0-1,0-0,2-2,0,1,0,2,0,1,0,0,1,0/0,2,福建,2016-11-16
孙喆,41,07:32,否,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,福建,2016-11-16
李江淮,5,08:04,否,0-1,0-1,0-0,0,1,2,2,0,0,0,0,0,0/0,0,福建,2016-11-16
顾全,12,29:08,是,6-7,2-4,1-2,0,5,1,1,0,2,0,0,2,0/0,19,深圳,2016-11-16
杰里米-帕戈,2,32:02,是,6-11,1-3,0-0,0,5,5,2,1,2,0,1,3,2/2,15,深圳,2016-11-16
李慕豪,21,23:17,是,3-8,0-0,2-6,1,2,4,5,0,1,0,1,3,0/0,8,深圳,2016-11-16
孟铎,3,32:26,是,1-2,1-5,2-2,0,2,4,3,0,1,0,0,1,0/0,7,深圳,2016-11-16
沈梓捷,11,20:59,是,1-5,0-0,0-2,1,7,0,5,0,2,0,0,1,0/0,2,深圳,2016-11-16
马齐-兰佩,30,36:40,否,12-18,3-5,3-4,2,16,2,4,3,3,1,1,5,2/2,36,深圳,2016-11-16
于德豪,8,16:29,否,2-2,0-1,1-2,0,2,0,1,1,0,0,0,3,0/0,5,深圳,2016-11-16
赵捷,24,19:50,否,2-2,0-1,0-0,0,0,2,1,0,2,0,1,0,2/2,4,深圳,2016-11-16
代怀博,22,14:40,否,1-1,0-2,0-0,0,2,0,4,1,1,0,0,0,0/0,2,深圳,2016-11-16
何忠勉,20,14:29,否,1-2,0-1,0-0,0,2,3,2,2,0,0,0,2,0/0,2,深圳,2016-11-16
