player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,42,是,8-11,6-11,3-3,0,6,5,4,7,3,0,0,4,0/0,37,辽宁,2018-02-04
赵继伟,3,37,是,3-5,2-5,3-3,1,1,7,5,1,2,0,0,6,0/0,15,辽宁,2018-02-04
韩德君,55,26,是,4-9,0-1,5-5,3,8,0,0,0,1,0,0,4,0/0,13,辽宁,2018-02-04
李晓旭,22,28,是,5-10,0-2,0-1,2,5,3,0,1,1,2,0,1,0/0,10,辽宁,2018-02-04
刘志轩,11,33,是,0-1,1-6,2-2,0,1,1,2,0,1,0,0,1,0/0,5,辽宁,2018-02-04
巴斯,30,30,否,4-17,0-0,5-6,2,6,2,1,3,0,1,3,6,0/0,13,辽宁,2018-02-04
丛明晨,10,19,否,0-0,2-3,0-0,1,0,2,4,1,1,0,0,0,0/0,6,辽宁,2018-02-04
钟诚,9,11,否,1-2,1-2,0-0,1,1,0,1,0,0,0,0,0,0/0,5,辽宁,2018-02-04
郭艾伦,13,7,否,0-1,0-1,0-0,0,0,1,1,1,0,0,0,0,0/0,0,辽宁,2018-02-04
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
杨鸣,12,4,否,0-1,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,辽宁,2018-02-04
弗雷戴特,32,43,是,10-23,6-13,3-3,3,11,5,1,0,5,0,0,8,0/0,41,上海,2018-02-04
蔡亮,1,43,是,4-5,3-4,3-4,1,3,2,3,2,3,0,0,5,0/0,20,上海,2018-02-04
罗汉琛,33,41,是,3-6,0-2,4-4,0,5,5,0,2,1,0,0,2,0/0,10,上海,2018-02-04
张兆旭,23,21,是,3-5,0-1,0-0,2,2,0,5,0,2,1,0,1,0/0,6,上海,2018-02-04
曾文鼎,76,18,是,1-1,0-2,0-0,1,1,0,3,0,1,0,0,0,0/0,2,上海,2018-02-04
明纳拉斯,41,29,否,3-6,1-3,0-0,0,5,0,2,0,2,0,0,0,0/0,9,上海,2018-02-04
董瀚麟,16,26,否,2-4,0-0,3-3,2,4,2,5,1,2,1,0,2,0/0,7,上海,2018-02-04
唐子豪,7,2,否,0-0,1-1,0-0,0,1,0,0,0,0,0,0,0,0/0,3,上海,2018-02-04
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
孟令源,5,3,否,0-1,0-0,0-0,0,1,0,1,1,1,0,0,0,0/0,0,上海,2018-02-04
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
翟逸,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
卢伟,12,9,否,0-0,0-1,0-0,0,0,2,2,1,1,0,0,0,0/0,0,上海,2018-02-04
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-04
