player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,40,是,10-10,2-8,6-7,0,7,1,3,2,2,1,0,6,0/0,32,辽宁,2018-10-28
郭艾伦,13,38,是,8-12,4-6,1-3,0,4,5,2,3,1,1,0,6,0/0,29,辽宁,2018-10-28
韩德君,55,28,是,6-9,0-0,4-7,3,4,2,3,0,2,0,0,4,0/0,16,辽宁,2018-10-28
李晓旭,22,29,是,0-0,1-2,0-0,3,1,0,3,0,1,0,0,2,0/0,3,辽宁,2018-10-28
丛明晨,10,19,是,0-0,0-2,0-0,0,1,0,2,0,0,0,0,0,0/0,0,辽宁,2018-10-28
巴斯,30,31,否,6-10,0-0,0-1,1,1,2,0,1,2,1,3,2,0/0,12,辽宁,2018-10-28
杨鸣,12,24,否,1-3,1-1,0-0,1,3,5,6,1,0,0,0,3,0/0,5,辽宁,2018-10-28
高诗岩,0,15,否,1-3,1-3,0-0,1,2,2,3,2,0,0,0,1,0/0,5,辽宁,2018-10-28
贺天举,6,7,否,1-2,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,2,辽宁,2018-10-28
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
刘志轩,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
钟诚,9,6,否,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0,0/0,0,辽宁,2018-10-28
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-28
汉密尔顿,41,34,是,4-10,1-2,3-3,3,5,1,0,0,0,4,2,3,0/0,14,北京,2018-10-28
朱彦西,13,38,是,1-2,3-7,0-0,0,3,3,3,2,1,0,0,2,0/0,11,北京,2018-10-28
刘晓宇,10,13,是,1-2,1-4,0-1,1,0,1,2,1,2,0,0,1,0/0,5,北京,2018-10-28
王骁辉,33,24,是,1-1,0-5,2-2,1,0,0,2,1,0,0,0,1,0/0,4,北京,2018-10-28
张才仁,16,10,是,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,北京,2018-10-28
艾伦-杰克逊,7,37,否,7-10,2-5,6-7,0,7,7,3,0,5,0,0,7,0/0,26,北京,2018-10-28
翟晓川,20,32,否,6-9,2-2,4-4,1,4,1,5,1,2,0,0,3,0/0,22,北京,2018-10-28
方硕,8,27,否,0-2,3-5,0-0,0,0,1,6,1,2,0,0,1,0/0,9,北京,2018-10-28
常林,23,14,否,1-1,0-1,3-4,1,1,0,1,0,1,0,0,2,0/0,5,北京,2018-10-28
丘天,19,7,否,0-0,0-0,0-0,0,1,0,2,1,0,0,0,1,0/0,0,北京,2018-10-28
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
段江鹏,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-28
