player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,41:47,是,6-8,4-12,1-2,2,8,8,3,1,1,0,0,1,0/1,25,辽宁,2016-11-13
韩德君,55,35:24,是,6-9,0-0,7-10,6,12,2,1,1,4,1,2,8,1/1,19,辽宁,2016-11-13
廉明,21,29:41,是,6-9,2-5,1-2,3,3,2,2,0,2,1,0,1,2/3,19,辽宁,2016-11-13
丛明晨,10,23:50,是,1-1,2-6,0-0,0,1,1,2,2,0,0,0,1,1/1,8,辽宁,2016-11-13
赵继伟,3,34:33,是,0-1,2-6,0-0,3,4,5,4,2,3,0,0,1,0/0,6,辽宁,2016-11-13
兰多夫,42,30:13,否,9-13,0-5,3-5,6,6,2,2,3,2,1,1,5,3/3,21,辽宁,2016-11-13
郭艾伦,13,22:57,否,2-2,2-5,0-0,0,0,2,3,0,3,0,0,2,0/0,10,辽宁,2016-11-13
贺天举,6,17:24,否,2-3,0-2,3-3,0,1,0,1,0,1,0,0,1,0/0,7,辽宁,2016-11-13
杨鸣,12,04:11,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,辽宁,2016-11-13
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,2,0,0,0,0/0,0,辽宁,2016-11-13
M.I.托马斯,9,34:29,是,5-8,3-6,0-0,3,8,4,2,0,0,3,0,0,0/0,19,吉林,2016-11-13
崔晋铭,5,39:18,是,4-9,1-3,0-0,1,3,1,4,2,2,0,0,1,2/3,11,吉林,2016-11-13
张彪,14,34:52,是,4-12,0-0,2-2,1,0,0,2,2,1,0,0,2,0/0,10,吉林,2016-11-13
柴长易,6,28:29,是,2-3,1-3,0-0,1,3,1,0,2,2,0,0,2,0/0,7,吉林,2016-11-13
卡姆拉尼,7,39:19,是,1-3,0-3,2-2,0,2,3,4,2,3,0,0,4,0/0,4,吉林,2016-11-13
J.A.布朗,55,35:42,否,8-14,6-12,14-18,2,4,5,1,2,3,1,1,9,2/2,48,吉林,2016-11-13
钟诚,12,22:01,否,0-0,1-3,0-0,0,1,0,5,3,2,0,0,0,0/0,3,吉林,2016-11-13
李安,4,04:38,否,0-1,0-0,0-0,0,2,0,2,0,1,0,0,0,0/0,0,吉林,2016-11-13
金明,2,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2016-11-13
刘天意,1,01:12,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,吉林,2016-11-13
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,1,0/0,0,吉林,2016-11-13
