player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
韩德君,55,14,是,8-10,0-0,3-4,2,2,1,0,2,2,1,0,4,0/0,19,辽宁,2017-12-24
哈德森,14,32,是,4-7,3-10,2-2,1,2,3,4,1,0,0,1,3,0/0,19,辽宁,2017-12-24
李晓旭,22,30,是,3-6,2-3,0-0,0,5,1,2,1,0,0,1,0,0/0,12,辽宁,2017-12-24
赵继伟,3,27,是,4-5,1-1,0-0,1,2,10,3,1,1,0,0,2,0/0,11,辽宁,2017-12-24
刘志轩,11,24,是,0-0,0-2,2-2,1,3,0,1,1,0,0,0,1,0/0,2,辽宁,2017-12-24
郭艾伦,13,20,否,7-10,2-5,1-1,1,2,4,2,0,1,0,0,1,0/0,21,辽宁,2017-12-24
巴斯,30,25,否,8-10,0-0,3-3,1,10,3,1,2,2,0,2,2,0/0,19,辽宁,2017-12-24
丛明晨,10,21,否,0-1,2-8,3-4,1,1,0,5,0,1,1,0,2,0/0,9,辽宁,2017-12-24
贺天举,6,9,否,1-4,1-3,0-0,1,0,0,0,0,0,0,0,0,0/0,5,辽宁,2017-12-24
杨鸣,12,8,否,2-3,0-0,0-0,1,1,1,0,0,0,0,0,0,0/0,4,辽宁,2017-12-24
卫猛,23,5,否,1-3,0-0,0-0,0,3,0,1,0,0,0,1,0,0/0,2,辽宁,2017-12-24
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-24
钟诚,9,19,否,0-1,0-0,0-0,0,0,2,4,1,0,0,0,0,0/0,0,辽宁,2017-12-24
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-24
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-24
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-24
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-24
富兰克林,11,48,是,7-10,4-8,9-11,2,14,5,3,1,6,0,0,12,0/0,35,四川,2017-12-24
陈晓东,30,34,是,6-6,0-1,2-2,1,2,1,1,0,0,0,1,2,0/0,14,四川,2017-12-24
刘炜,8,19,是,3-8,0-0,2-2,0,0,3,2,0,3,0,0,2,0/0,8,四川,2017-12-24
孟达,12,21,是,2-4,1-4,0-0,1,2,2,2,2,3,0,0,0,0/0,7,四川,2017-12-24
赵杭,26,25,是,1-2,0-0,0-0,0,1,1,2,0,1,0,0,2,0/0,2,四川,2017-12-24
陈辰,32,18,否,1-4,2-5,2-2,0,4,3,2,1,1,0,0,1,0/0,10,四川,2017-12-24
黄荣奇,7,19,否,2-4,1-3,0-0,0,5,0,0,0,1,1,0,0,0/0,7,四川,2017-12-24
侯天一,14,16,否,2-4,0-0,0-0,0,2,0,1,0,1,0,0,0,0/0,4,四川,2017-12-24
杨越,6,9,否,0-2,0-0,2-2,0,1,0,1,0,1,0,0,3,0/0,2,四川,2017-12-24
吴楠,10,7,否,1-3,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,2,四川,2017-12-24
左朕年,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
徐煜峰,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
王政博,16,18,否,0-0,0-3,0-0,1,0,0,1,0,1,0,0,1,0/0,0,四川,2017-12-24
哈达迪,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
李柯七,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2017-12-24
