player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,44:28,是,6-8,5-21,5-5,2,6,6,2,2,4,0,0,8,0/0,32,辽宁,2017-02-10
郭艾伦,13,33:55,是,5-9,2-4,1-1,1,7,2,5,2,2,0,0,3,2/3,17,辽宁,2017-02-10
韩德君,55,39:52,是,5-10,0-0,2-6,2,6,3,2,0,3,2,0,3,0/0,12,辽宁,2017-02-10
刘志轩,11,30:53,是,0-0,0-2,2-2,2,2,4,0,1,0,0,0,3,0/0,2,辽宁,2017-02-10
廉明,21,10:06,是,0-2,0-1,1-2,1,0,1,0,0,0,0,0,1,0/0,1,辽宁,2017-02-10
兰多夫,42,27:32,否,10-16,1-5,5-7,4,6,1,3,1,1,0,3,7,2/3,28,辽宁,2017-02-10
赵继伟,3,27:01,否,1-5,2-3,2-2,2,3,5,5,1,0,0,0,3,0/0,10,辽宁,2017-02-10
卫猛,23,18:30,否,2-3,0-0,1-2,3,2,0,6,0,1,0,0,2,0/0,5,辽宁,2017-02-10
杨鸣,12,07:43,否,1-3,0-0,0-0,1,0,1,1,0,0,0,0,0,0/0,2,辽宁,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-02-10
普-杰特,3,46:18,是,7-8,3-10,6-7,0,5,14,3,2,4,0,0,6,1/1,29,天津,2017-02-10
萨尼-萨卡基尼,7,46:23,是,7-9,4-9,2-2,3,11,4,5,2,3,0,0,6,0/0,28,天津,2017-02-10
张智涵,9,40:06,是,6-9,4-6,1-3,2,3,2,4,0,2,0,0,2,3/3,25,天津,2017-02-10
张骥,13,10:18,是,2-2,0-0,1-1,0,1,0,2,1,2,1,0,2,0/0,5,天津,2017-02-10
李荣培,15,21:27,是,1-4,0-2,0-0,3,0,1,5,0,2,0,0,1,0/0,2,天津,2017-02-10
杰里米-泰勒,8,25:42,否,4-13,0-0,6-6,2,7,0,3,0,0,2,2,4,0/0,14,天津,2017-02-10
孟祥龙,14,30:51,否,0-1,4-6,0-0,1,1,0,3,1,1,0,0,1,0/0,12,天津,2017-02-10
史仪,2,01:42,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,1,0/0,0,天津,2017-02-10
韩博林,6,03:36,否,0-0,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,0,天津,2017-02-10
田垒,1,13:37,否,0-0,0-3,0-0,0,4,0,3,0,0,0,0,1,0/0,0,天津,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,1,4,0,0,0,2,0,0,0,0/0,0,天津,2017-02-10
