player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,43,是,2-7,5-14,6-6,4,2,3,3,4,4,1,0,8,0/0,25,辽宁,2017-11-12
郭艾伦,13,33,是,3-8,2-7,3-4,0,4,3,4,2,1,0,0,5,0/0,15,辽宁,2017-11-12
韩德君,55,36,是,6-13,0-0,1-2,3,8,0,2,0,2,0,3,3,0/0,13,辽宁,2017-11-12
刘志轩,11,35,是,0-0,2-6,3-4,0,3,4,1,1,2,0,0,2,0/0,9,辽宁,2017-11-12
李晓旭,22,23,是,1-4,0-1,0-2,1,3,0,5,0,0,0,0,2,0/0,2,辽宁,2017-11-12
巴斯,30,23,否,6-7,0-0,8-8,2,4,0,1,3,0,0,1,4,0/0,20,辽宁,2017-11-12
钟诚,9,13,否,0-0,2-3,0-0,0,1,0,1,1,0,0,0,0,0/0,6,辽宁,2017-11-12
丛明晨,10,16,否,1-1,1-3,0-0,0,0,1,2,1,1,0,0,0,0/0,5,辽宁,2017-11-12
杨鸣,12,14,否,0-1,0-0,2-2,0,2,4,1,0,1,0,0,1,0/0,2,辽宁,2017-11-12
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-12
丁彦雨航,8,43,是,5-9,4-12,5-5,2,8,4,4,1,5,0,0,3,0/0,27,山东,2017-11-12
莫泰尤纳斯,12,37,是,4-7,3-3,0-0,4,8,6,2,0,6,0,0,3,0/0,17,山东,2017-11-12
陶汉林,20,34,是,5-10,0-0,2-3,2,6,0,3,0,2,0,4,3,0/0,12,山东,2017-11-12
王汝恒,24,23,是,1-4,1-3,0-0,0,1,1,3,0,0,0,0,0,0/0,5,山东,2017-11-12
张辉,4,20,是,1-3,0-0,1-1,0,3,2,4,1,0,0,0,3,0/0,3,山东,2017-11-12
泰-劳森,3,34,否,5-8,4-5,6-9,0,2,4,1,6,3,0,0,8,0/0,28,山东,2017-11-12
张春军,27,16,否,0-2,1-1,0-0,1,1,0,4,0,0,0,0,0,0/0,3,山东,2017-11-12
潘宁,5,18,否,0-0,0-2,0-0,0,1,0,2,1,1,0,0,0,0/0,0,山东,2017-11-12
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
张庆鹏,9,6,否,0-0,0-3,0-0,0,0,0,0,0,2,0,0,0,0/0,0,山东,2017-11-12
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
贾诚,32,5,否,0-0,0-1,0-0,0,2,0,2,1,0,0,0,0,0/0,0,山东,2017-11-12
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
朱荣振,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
吴轲,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-11-12
