player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,41,是,6-10,8-13,1-1,0,8,5,2,1,3,1,1,4,0/0,37,辽宁,2018-03-31
郭艾伦,13,36,是,5-7,3-5,4-5,0,7,7,2,0,3,1,0,5,0/0,23,辽宁,2018-03-31
韩德君,55,37,是,5-9,0-0,4-4,3,5,2,4,0,2,0,2,3,0/0,14,辽宁,2018-03-31
李晓旭,22,14,是,0-0,0-1,0-0,0,2,0,1,0,1,0,0,1,0/0,0,辽宁,2018-03-31
刘志轩,11,17,是,0-1,0-1,0-0,0,2,2,4,0,0,0,0,0,0/0,0,辽宁,2018-03-31
巴斯,30,30,否,6-14,0-0,2-2,0,6,0,2,0,1,0,1,3,0/0,14,辽宁,2018-03-31
丛明晨,10,17,否,0-1,1-2,2-3,0,1,1,1,2,1,0,0,1,0/0,5,辽宁,2018-03-31
赵继伟,3,31,否,1-3,1-4,0-0,0,1,5,3,3,2,0,0,2,0/0,5,辽宁,2018-03-31
钟诚,9,13,否,0-1,1-1,0-0,1,1,0,2,1,0,0,0,0,0/0,3,辽宁,2018-03-31
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
杨鸣,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-03-31
周鹏,11,40,是,4-5,2-10,3-5,1,3,3,3,2,0,0,0,5,0/0,17,广东,2018-03-31
易建联,9,41,是,5-14,1-3,3-3,1,4,2,2,1,0,2,3,7,0/0,16,广东,2018-03-31
唐纳德-斯隆,23,33,是,4-8,2-4,0-0,0,5,6,4,0,4,0,0,1,0/0,14,广东,2018-03-31
赵睿,0,41,是,4-7,2-4,0-0,2,2,1,2,0,3,0,0,4,0/0,14,广东,2018-03-31
任骏飞,20,24,是,5-8,0-2,0-2,3,3,4,4,1,1,0,0,2,0/0,10,广东,2018-03-31
尼克尔森,44,37,否,3-4,4-6,0-0,0,5,1,3,0,1,2,1,1,0/0,18,广东,2018-03-31
胡明轩,16,20,否,0-1,2-3,0-0,0,3,2,1,2,1,0,0,1,0/0,6,广东,2018-03-31
邵英伦,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
杨金蒙,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
周湛东,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
王薪凯,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-03-31
