player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,37,是,8-13,3-13,10-11,1,4,5,3,2,2,0,0,7,0/0,35,辽宁,2017-11-05
郭艾伦,13,33,是,5-7,3-7,0-1,2,0,3,4,0,2,0,0,4,0/0,19,辽宁,2017-11-05
韩德君,55,27,是,3-5,0-1,1-2,2,5,1,2,1,1,1,0,3,0/0,7,辽宁,2017-11-05
李晓旭,22,26,是,2-7,0-1,0-0,5,4,0,2,1,1,0,1,0,0/0,4,辽宁,2017-11-05
丛明晨,10,20,是,0-2,1-4,0-0,1,1,0,1,0,3,0,0,0,0/0,3,辽宁,2017-11-05
巴斯,30,34,否,9-17,0-0,2-3,5,5,0,2,0,1,4,3,3,0/0,20,辽宁,2017-11-05
赵继伟,3,29,否,3-3,0-2,1-1,0,1,4,4,0,1,0,0,3,0/0,7,辽宁,2017-11-05
刘志轩,11,25,否,0-0,1-4,0-0,0,2,1,1,0,2,0,0,0,0/0,3,辽宁,2017-11-05
钟诚,9,2,否,0-1,1-1,0-0,0,1,0,1,0,1,0,0,0,0/0,3,辽宁,2017-11-05
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
杨鸣,12,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-11-05
刘铮,11,34,是,12-17,0-0,0-0,3,1,2,2,6,2,0,2,1,0/0,24,广厦,2017-11-05
胡金秋,21,37,是,8-12,0-0,1-1,7,6,2,1,1,2,0,1,3,0/0,17,广厦,2017-11-05
福特森,4,40,是,3-11,2-7,2-2,1,8,18,2,3,1,0,0,5,0/0,14,广厦,2017-11-05
林志杰,27,37,是,1-2,3-6,0-0,2,5,3,4,1,1,0,0,2,0/0,11,广厦,2017-11-05
苏若禹,5,20,是,4-6,0-0,3-5,2,1,1,6,2,0,0,0,3,0/0,11,广厦,2017-11-05
博洛西斯,29,26,否,5-10,3-6,1-2,3,7,1,1,0,2,0,0,2,0/0,20,广厦,2017-11-05
鞠鹏,12,9,否,2-2,1-1,0-0,1,1,0,2,0,0,0,0,1,0/0,7,广厦,2017-11-05
赵岩昊,25,17,否,3-8,0-3,0-0,1,0,2,0,1,0,1,0,1,0/0,6,广厦,2017-11-05
李京龙,9,5,否,0-1,1-1,0-0,1,1,0,1,0,0,0,0,0,0/0,3,广厦,2017-11-05
赵天熠,15,2,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,广厦,2017-11-05
孙铭徽,17,7,否,1-3,0-1,0-1,0,0,1,0,0,0,0,0,2,0/0,2,广厦,2017-11-05
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-05
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-05
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-05
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-11-05
