player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,34,是,2-5,5-11,5-6,0,1,6,2,2,3,0,0,7,0/0,24,辽宁,2017-12-20
韩德君,55,37,是,8-12,0-0,4-6,5,15,6,4,0,1,3,2,5,0/0,20,辽宁,2017-12-20
刘志轩,11,37,是,2-3,1-3,3-3,1,2,3,1,0,1,0,0,3,0/0,10,辽宁,2017-12-20
郭艾伦,13,32,是,1-2,1-7,2-2,0,1,2,2,0,3,0,0,2,0/0,7,辽宁,2017-12-20
李晓旭,22,10,是,1-2,0-0,0-1,1,3,0,1,0,1,0,0,1,0/0,2,辽宁,2017-12-20
巴斯,30,34,否,8-17,0-2,3-4,2,5,0,2,0,4,0,4,3,0/0,19,辽宁,2017-12-20
杨鸣,12,12,否,2-4,0-0,2-2,0,2,1,0,1,0,1,0,1,0/0,6,辽宁,2017-12-20
赵继伟,3,17,否,0-0,2-2,0-0,1,1,1,3,1,1,0,0,2,0/0,6,辽宁,2017-12-20
钟诚,9,13,否,1-1,1-4,0-0,0,0,1,4,2,1,0,0,1,0/0,5,辽宁,2017-12-20
丛明晨,10,9,否,0-1,0-1,0-0,0,0,0,1,0,0,0,0,1,0/0,0,辽宁,2017-12-20
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
贺天举,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
刘大为,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
张宗睿,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
卫猛,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
赵率舟,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-12-20
桑尼,1,40,是,7-10,3-6,8-9,2,6,3,3,2,3,0,1,6,0/0,31,广州,2017-12-20
克里斯顿,0,44,是,10-21,1-3,3-3,1,3,11,4,5,5,0,0,4,0/0,26,广州,2017-12-20
罗旭东,9,22,是,3-4,1-2,1-3,0,2,1,6,2,2,0,0,2,0/0,10,广州,2017-12-20
范子铭,13,5,是,1-2,0-0,2-2,0,3,0,0,0,0,0,0,1,0/0,4,广州,2017-12-20
鞠明欣,8,48,是,0-4,1-2,0-0,3,3,3,4,1,2,0,0,0,0/0,3,广州,2017-12-20
汉斯布鲁,11,26,否,7-12,0-0,2-4,5,5,0,3,2,0,0,0,5,0/0,16,广州,2017-12-20
郑准,50,23,否,0-1,4-9,0-0,0,3,2,2,1,0,0,0,1,0/0,12,广州,2017-12-20
谷玥灼,7,28,否,2-2,1-3,2-2,0,2,0,4,0,0,0,0,1,0/0,9,广州,2017-12-20
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
胡珑贸,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
朱旭航,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
衡艺丰,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-20
