player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
韩德君,55,38:27,是,9-13,0-0,10-10,12,10,3,4,2,1,0,0,9,0/0,28,辽宁,2017-03-15
哈德森,14,44:17,是,3-12,4-14,3-5,1,5,2,5,1,3,1,0,4,1/2,21,辽宁,2017-03-15
郭艾伦,13,41:39,是,7-14,1-6,3-4,2,3,6,5,3,2,0,0,4,5/5,20,辽宁,2017-03-15
刘志轩,11,28:31,是,0-0,1-4,4-4,0,2,1,3,1,1,0,0,2,0/0,7,辽宁,2017-03-15
廉明,21,04:53,是,0-2,0-0,0-0,0,0,0,4,0,0,0,0,0,0/0,0,辽宁,2017-03-15
赵继伟,3,35:17,否,2-6,2-8,4-4,1,1,7,4,1,0,0,0,4,1/1,14,辽宁,2017-03-15
兰多夫,42,25:27,否,3-11,1-2,0-0,7,3,0,3,3,3,0,1,2,2/2,9,辽宁,2017-03-15
杨鸣,12,13:16,否,2-3,0-0,1-2,1,0,1,2,0,1,0,0,3,0/0,5,辽宁,2017-03-15
卫猛,23,08:13,否,2-4,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,4,辽宁,2017-03-15
高诗岩,1,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-03-15
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,0,0,0,0,0/0,0,辽宁,2017-03-15
亚当斯,4,39:59,是,10-14,3-10,5-5,0,8,6,1,2,4,0,0,7,2/3,34,新疆,2017-03-15
周琦,9,41:43,是,2-6,0-0,10-13,2,9,2,5,2,1,7,0,10,0/0,14,新疆,2017-03-15
西热力江,20,37:59,是,1-1,3-8,0-0,0,1,1,3,1,5,0,0,1,1/2,11,新疆,2017-03-15
可兰白克,13,24:56,是,1-4,1-3,0-0,1,2,2,5,2,2,0,0,0,0/0,5,新疆,2017-03-15
俞长栋,7,03:41,是,0-1,0-0,1-2,1,0,0,2,0,0,0,0,1,0/0,1,新疆,2017-03-15
布莱切,0,32:01,否,6-7,4-6,6-10,1,13,5,3,2,5,1,0,9,2/2,30,新疆,2017-03-15
孙桐林,55,18:35,否,4-5,0-0,2-2,4,1,2,3,0,1,0,0,2,0/0,10,新疆,2017-03-15
李根,1,32:13,否,2-3,1-2,2-2,0,3,1,4,0,0,0,0,2,1/1,9,新疆,2017-03-15
罗旭东,6,08:53,否,1-1,0-0,0-0,0,0,1,2,0,1,0,0,0,0/0,2,新疆,2017-03-15
未确认,--,--,--,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,新疆,2017-03-15
