player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
哈德森,14,44:49,是,6-14,6-13,15-16,6,6,3,5,2,3,0,0,14,0/2,45,辽宁,2016-11-02
赵继伟,3,38:15,是,6-8,1-3,0-0,1,1,4,3,4,5,0,0,0,2/2,15,辽宁,2016-11-02
韩德君,55,37:21,是,3-7,0-0,7-10,4,8,2,2,0,2,0,0,10,0/0,13,辽宁,2016-11-02
廉明,21,31:28,是,2-4,1-1,3-4,2,1,0,1,1,1,0,0,2,0/0,10,辽宁,2016-11-02
丛明晨,10,40:35,是,1-1,1-2,0-0,1,1,3,4,2,2,0,0,2,2/2,5,辽宁,2016-11-02
兰多夫,42,27:11,否,8-16,1-3,2-4,5,2,2,4,1,1,2,0,2,1/1,21,辽宁,2016-11-02
杨鸣,12,13:51,否,0-1,0-0,1-2,1,0,1,3,0,0,0,0,1,0/0,1,辽宁,2016-11-02
高诗岩,1,06:30,否,0-2,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,辽宁,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,辽宁,2016-11-02
布鲁克斯,2,39:54,是,6-13,7-8,6-6,1,3,10,4,2,2,0,0,8,0/0,39,江苏,2016-11-02
易立,8,41:53,是,1-7,3-6,2-2,1,3,2,5,3,1,0,0,3,0/0,13,江苏,2016-11-02
曹飞,23,37:00,是,3-3,2-6,1-2,0,5,0,2,4,2,0,0,2,1/1,13,江苏,2016-11-02
刘亚晖,9,23:47,是,1-2,1-1,0-0,0,1,0,4,0,0,0,0,0,0/0,5,江苏,2016-11-02
柳伟,15,12:30,是,1-2,0-0,0-0,1,1,2,5,0,1,0,0,0,0/0,2,江苏,2016-11-02
萨缪尔斯,24,29:42,否,8-11,0-0,4-4,0,5,3,2,1,3,1,0,6,0/0,20,江苏,2016-11-02
李原宇,16,29:50,否,3-5,0-0,3-4,4,4,1,5,1,2,0,0,2,0/0,9,江苏,2016-11-02
胡雪峰,55,16:06,否,0-0,1-5,0-0,0,1,0,2,1,1,0,0,2,0/0,3,江苏,2016-11-02
侯逸凡,31,09:18,否,0-0,0-0,0-0,0,0,0,2,0,1,0,0,0,0/0,0,江苏,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,0,0,0,0,0,3,0,0,0,0/0,0,江苏,2016-11-02
